name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$50 NBA Daily 8/14,2020-08-13T16:00:08.823087,estk_03938e5ab72be95e998cf3066566c393,evt_03938e5ab72be95e,James Harden,NBA,50.33,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823117,estk_03938e5ab72be95ebb115bd4f54ff319,evt_03938e5ab72be95e,Kawhi Leonard,NBA,43.03,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823122,estk_03938e5ab72be95ef59563a6406f63f4,evt_03938e5ab72be95e,Paul George,NBA,38.42,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823127,estk_03938e5ab72be95e86ea8af848cca3f6,evt_03938e5ab72be95e,Chris Paul,NBA,37.31,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823131,estk_03938e5ab72be95e77c3d3d4d8ad15c5,evt_03938e5ab72be95e,Tobias Harris,NBA,32.92,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823135,estk_03938e5ab72be95e63a58b55849249a4,evt_03938e5ab72be95e,Al Horford,NBA,31.33,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823139,estk_03938e5ab72be95e33aee19dae855240,evt_03938e5ab72be95e,Shai Gilgeous-Alexander,NBA,28.75,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823143,estk_03938e5ab72be95e4d546eba965e40a0,evt_03938e5ab72be95e,Steven Adams,NBA,27.54,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823146,estk_03938e5ab72be95eb3147c681557a264,evt_03938e5ab72be95e,Josh Richardson,NBA,26.93,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823151,estk_03938e5ab72be95e6e1b2c66fb087a89,evt_03938e5ab72be95e,Danilo Gallinari,NBA,26.8,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823155,estk_03938e5ab72be95e2e7d4bf632563918,evt_03938e5ab72be95e,Robert Covington,NBA,23.96,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823158,estk_03938e5ab72be95e85e7a39b281a7530,evt_03938e5ab72be95e,Ivica Zubac,NBA,21.59,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823161,estk_03938e5ab72be95eaf1a06f413850d3c,evt_03938e5ab72be95e,Montrezl Harrell,NBA,21.29,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823165,estk_03938e5ab72be95e57693decb131a860,evt_03938e5ab72be95e,Lou Williams,NBA,20.62,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823169,estk_03938e5ab72be95e0b5bea604e9b515d,evt_03938e5ab72be95e,Nerlens Noel,NBA,18.49,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823172,estk_03938e5ab72be95ea1e25447b314f889,evt_03938e5ab72be95e,Shake Milton,NBA,18.47,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823176,estk_03938e5ab72be95eb402a1af1291a618,evt_03938e5ab72be95e,Patrick Beverley,NBA,17.61,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823179,estk_03938e5ab72be95e575ca725abf50fd3,evt_03938e5ab72be95e,Alec Burks,NBA,17.52,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823183,estk_03938e5ab72be95ebb2265938b36951f,evt_03938e5ab72be95e,P.J. Tucker,NBA,17.25,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823187,estk_03938e5ab72be95e8b0372db86dba9af,evt_03938e5ab72be95e,Furkan Korkmaz,NBA,16.76,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823191,estk_03938e5ab72be95e85078b5202b93fb5,evt_03938e5ab72be95e,Luguentz Dort,NBA,16.59,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823194,estk_03938e5ab72be95e6e82fa5f30bdfa80,evt_03938e5ab72be95e,Marcus Morris,NBA,14.91,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823198,estk_03938e5ab72be95ed5d16483f5148c0b,evt_03938e5ab72be95e,Darius Bazley,NBA,14.72,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823202,estk_03938e5ab72be95ef101f1906b677e1c,evt_03938e5ab72be95e,JaMychal Green,NBA,14.65,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823206,estk_03938e5ab72be95e92bc30f31e413420,evt_03938e5ab72be95e,Matisse Thybulle,NBA,14.42,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823209,estk_03938e5ab72be95ee9aea717e9a5e7f3,evt_03938e5ab72be95e,Reggie Jackson,NBA,13.54,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823213,estk_03938e5ab72be95ed086e77c2f7fd9b3,evt_03938e5ab72be95e,Hamidou Diallo,NBA,12.27,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823216,estk_03938e5ab72be95e9e314ab9e97d6d4e,evt_03938e5ab72be95e,Eric Gordon,NBA,11.9,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823219,estk_03938e5ab72be95ece8e428feaa184fb,evt_03938e5ab72be95e,Dennis Schroder,NBA,0,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823223,estk_03938e5ab72be95e9429a910322dd902,evt_03938e5ab72be95e,Russell Westbrook,NBA,0,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823226,estk_03938e5ab72be95e7e274b6cb95b0d20,evt_03938e5ab72be95e,Danuel House,NBA,0,,,,,,,
$50 NBA Daily 8/14,2020-08-13T16:00:08.823230,estk_03938e5ab72be95e3e4b7dde83288c09,evt_03938e5ab72be95e,Norvel Pelle,NBA,0,,,,,,,
$50 NBA Daily 8/14,2020-08-14T14:06:46.564701,estk_03938e5ab72be95e998cf3066566c393,evt_03938e5ab72be95e,James Harden,NBA,50.33,,,,18.9000,12.9000,,
$50 NBA Daily 8/14,2020-08-14T14:06:46.564731,estk_03938e5ab72be95ebb115bd4f54ff319,evt_03938e5ab72be95e,Kawhi Leonard,NBA,39.53,,,,13.5400,10.3500,,
$50 NBA Daily 8/14,2020-08-14T14:06:46.564736,estk_03938e5ab72be95ef59563a6406f63f4,evt_03938e5ab72be95e,Paul George,NBA,36.29,,,,11.9800,9.1300,,
$50 NBA Daily 8/14,2020-08-14T14:06:46.564740,estk_03938e5ab72be95e77c3d3d4d8ad15c5,evt_03938e5ab72be95e,Tobias Harris,NBA,26.33,,,,7.7000,5.9300,,
$50 NBA Daily 8/14,2020-08-14T14:06:46.564747,estk_03938e5ab72be95e85e7a39b281a7530,evt_03938e5ab72be95e,Ivica Zubac,NBA,25.69,,,,7.5200,5.7500,,
$50 NBA Daily 8/14,2020-08-14T14:06:46.564751,estk_03938e5ab72be95e2e7d4bf632563918,evt_03938e5ab72be95e,Robert Covington,NBA,23.96,,,,6.7800,5.2500,,
$50 NBA Daily 8/14,2020-08-14T14:06:46.564755,estk_03938e5ab72be95e4d546eba965e40a0,evt_03938e5ab72be95e,Steven Adams,NBA,23.31,,,,6.6500,5.1500,,
$50 NBA Daily 8/14,2020-08-14T14:06:46.564759,estk_03938e5ab72be95e63a58b55849249a4,evt_03938e5ab72be95e,Al Horford,NBA,22.97,,,,6.4000,5.0600,,
$50 NBA Daily 8/14,2020-08-14T14:06:46.564762,estk_03938e5ab72be95ee9aea717e9a5e7f3,evt_03938e5ab72be95e,Reggie Jackson,NBA,22.54,,,,6.2500,4.9400,,
$50 NBA Daily 8/14,2020-08-14T14:06:46.564766,estk_03938e5ab72be95e6e82fa5f30bdfa80,evt_03938e5ab72be95e,Marcus Morris,NBA,22,,,,6.1400,4.8200,,
$50 NBA Daily 8/14,2020-08-14T14:06:46.564770,estk_03938e5ab72be95e33aee19dae855240,evt_03938e5ab72be95e,Shai Gilgeous-Alexander,NBA,21.79,,,,6.0200,4.8000,,
