name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$2K Wyndham Championship,2020-08-11T21:05:27.775960,estk_0faf42f669e2a6f3503f60443b3bd112,evt_0faf42f669e2a6f3,Webb Simpson,PGA,79.15,,,,13.7100,,,
$2K Wyndham Championship,2020-08-11T21:05:27.775990,estk_0faf42f669e2a6f303fcb99bd098267b,evt_0faf42f669e2a6f3,Patrick Reed,PGA,78.09,,,,12.8900,1.0200,,
$2K Wyndham Championship,2020-08-11T21:05:27.775995,estk_0faf42f669e2a6f330ccd165c4aa611d,evt_0faf42f669e2a6f3,Brooks Koepka,PGA,76.15,,,,11.4600,1.0100,,
$2K Wyndham Championship,2020-08-11T21:05:27.776000,estk_0faf42f669e2a6f3db5881f101cec470,evt_0faf42f669e2a6f3,Justin Rose,PGA,74.58,,,,10.3600,1.0200,,
$2K Wyndham Championship,2020-08-11T21:05:27.776004,estk_0faf42f669e2a6f3e64a0e6fb2b31683,evt_0faf42f669e2a6f3,Rafa Cabrera Bello,PGA,71.6,,,,8.3800,,,
$2K Wyndham Championship,2020-08-11T21:05:27.776008,estk_0faf42f669e2a6f36cf2ca706ee5c6ba,evt_0faf42f669e2a6f3,Zach Johnson,PGA,70.96,,,,7.9300,1.0100,,
$2K Wyndham Championship,2020-08-11T21:05:27.776012,estk_0faf42f669e2a6f3a251d6b9cc0a07e5,evt_0faf42f669e2a6f3,Sungjae Im,PGA,70.86,,,,7.9100,,,
$2K Wyndham Championship,2020-08-11T21:05:27.776016,estk_0faf42f669e2a6f35e6a5c337da2b39d,evt_0faf42f669e2a6f3,Matthias Schwab,PGA,70.52,,,,7.6900,,,
$2K Wyndham Championship,2020-08-11T21:05:27.776019,estk_0faf42f669e2a6f3694b41dae4b8654f,evt_0faf42f669e2a6f3,Lucas Glover,PGA,70.44,,,,7.6800,1.0100,,
$2K Wyndham Championship,2020-08-11T21:05:27.776023,estk_0faf42f669e2a6f3dda748b4200f22bf,evt_0faf42f669e2a6f3,Paul Casey,PGA,70.47,,,,7.6700,1.0100,,
$2K Wyndham Championship,2020-08-11T21:05:27.776027,estk_0faf42f669e2a6f3170130e9fa731e23,evt_0faf42f669e2a6f3,Jason Kokrak,PGA,69.7,,,,7.2400,1.0100,,
$2K Wyndham Championship,2020-08-11T21:05:27.776031,estk_0faf42f669e2a6f32ab98d8a9a770fd5,evt_0faf42f669e2a6f3,Jordan Spieth,PGA,69.68,,,,7.2300,1.0100,,
$2K Wyndham Championship,2020-08-11T21:05:27.776034,estk_0faf42f669e2a6f356ab6ba90ba02e56,evt_0faf42f669e2a6f3,Joaquin Niemann,PGA,69.43,,,,7.0800,1.0100,,
$2K Wyndham Championship,2020-08-11T21:05:27.776038,estk_0faf42f669e2a6f391386b499e2742a4,evt_0faf42f669e2a6f3,Ryan Moore,PGA,68.9,,,,6.7500,,,
$2K Wyndham Championship,2020-08-11T21:05:27.776042,estk_0faf42f669e2a6f31fc545ba8ac8cb0b,evt_0faf42f669e2a6f3,Rory Sabbatini,PGA,68.41,,,,6.5500,1.0100,,
$2K Wyndham Championship,2020-08-11T21:05:27.776046,estk_0faf42f669e2a6f34e5af02280177635,evt_0faf42f669e2a6f3,Si Woo Kim,PGA,68.37,,,,6.5100,1.0200,,
$2K Wyndham Championship,2020-08-11T21:05:27.776050,estk_0faf42f669e2a6f3d8f0d69f88d3691a,evt_0faf42f669e2a6f3,Doc Redman,PGA,68.27,,,,6.4300,1.0100,,
$2K Wyndham Championship,2020-08-11T21:05:27.776054,estk_0faf42f669e2a6f34c6653517cec92a3,evt_0faf42f669e2a6f3,Russell Knox,PGA,68.26,,,,6.4100,,,
$2K Wyndham Championship,2020-08-11T21:05:27.776057,estk_0faf42f669e2a6f3727afcd55bf28e15,evt_0faf42f669e2a6f3,Brandt Snedeker,PGA,68.02,,,,6.3100,1.0200,,
