name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$500 NBA Daily 8/20,2020-08-20T14:00:21.600381,estk_1287a473f64deeb91452baccd9371298,evt_1287a473f64deeb9,LeBron James,NBA,58.15,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600410,estk_1287a473f64deeb912d0c14aa5dfd232,evt_1287a473f64deeb9,Giannis Antetokounmpo,NBA,54.49,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600415,estk_1287a473f64deeb99af7d442f918404f,evt_1287a473f64deeb9,Anthony Davis,NBA,50.69,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600419,estk_1287a473f64deeb901113a8407ed38e2,evt_1287a473f64deeb9,Damian Lillard,NBA,47.4,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600423,estk_1287a473f64deeb9f6c7d554d2fa9f75,evt_1287a473f64deeb9,Nikola Vucevic,NBA,42.62,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600427,estk_1287a473f64deeb91a3043d6384c59cc,evt_1287a473f64deeb9,Jusuf Nurkic,NBA,37.69,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600431,estk_1287a473f64deeb94641ef307a4855e5,evt_1287a473f64deeb9,CJ McCollum,NBA,33.32,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600435,estk_1287a473f64deeb9f2604b3c6ec43ff2,evt_1287a473f64deeb9,Khris Middleton,NBA,32.67,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600439,estk_1287a473f64deeb931303064abb30322,evt_1287a473f64deeb9,Hassan Whiteside,NBA,29.78,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600443,estk_1287a473f64deeb955086ea38656fe99,evt_1287a473f64deeb9,Aaron Gordon,NBA,27.68,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600447,estk_1287a473f64deeb958d79b9f2662f624,evt_1287a473f64deeb9,Evan Fournier,NBA,25.75,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600450,estk_1287a473f64deeb904749763bd15faac,evt_1287a473f64deeb9,Eric Bledsoe,NBA,25.55,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600454,estk_1287a473f64deeb96a7e9a693923060b,evt_1287a473f64deeb9,Carmelo Anthony,NBA,25.43,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600458,estk_1287a473f64deeb9ebfb1a44ae619e2e,evt_1287a473f64deeb9,Kyle Kuzma,NBA,25.15,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600462,estk_1287a473f64deeb9806121a64c461e99,evt_1287a473f64deeb9,Brook Lopez,NBA,24.32,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600465,estk_1287a473f64deeb9f95aa87cc77383be,evt_1287a473f64deeb9,Markelle Fultz,NBA,23.15,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600469,estk_1287a473f64deeb9663b3162753394ed,evt_1287a473f64deeb9,Terrence Ross,NBA,20.02,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600473,estk_1287a473f64deeb9828daf68b6f4025d,evt_1287a473f64deeb9,George Hill,NBA,19.66,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600477,estk_1287a473f64deeb9f2b631af853210c3,evt_1287a473f64deeb9,Kentavious Caldwell-Pope,NBA,18.14,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600481,estk_1287a473f64deeb97d8f05cf2dd6dbea,evt_1287a473f64deeb9,D.J. Augustin,NBA,17.97,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600484,estk_1287a473f64deeb9a8ff2d0160121c76,evt_1287a473f64deeb9,Dwight Howard,NBA,17.62,,,,,,,
$500 NBA Daily 8/20,2020-08-20T14:00:21.600488,estk_1287a473f64deeb90b04a4c808a880c2,evt_1287a473f64deeb9,Gary Trent,NBA,17.16,,,,,,,
