name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$500 NBA Daily 8/11,2020-08-11T13:00:24.510925,estk_206d343c14c4d54812d0c14aa5dfd232,evt_206d343c14c4d548,Giannis Antetokounmpo,NBA,55.16,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.510953,estk_206d343c14c4d548da4bddbbc347c31f,evt_206d343c14c4d548,Jayson Tatum,NBA,39.35,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.510958,estk_206d343c14c4d548f2604b3c6ec43ff2,evt_206d343c14c4d548,Khris Middleton,NBA,35.74,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.510962,estk_206d343c14c4d54810eefe2828c2cb3c,evt_206d343c14c4d548,Thomas Bryant,NBA,35.45,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.510967,estk_206d343c14c4d5484b8c495d9fa8db90,evt_206d343c14c4d548,Jaylen Brown,NBA,33.08,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.510971,estk_206d343c14c4d548f7c5bbc448149f99,evt_206d343c14c4d548,Gordon Hayward,NBA,32.41,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.510975,estk_206d343c14c4d5488d1c1ad7764c997b,evt_206d343c14c4d548,Jonas Valanciunas,NBA,31.87,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.510979,estk_206d343c14c4d548a9edb859d18234d0,evt_206d343c14c4d548,Kemba Walker,NBA,31.69,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.510982,estk_206d343c14c4d548d6171dfea381a48f,evt_206d343c14c4d548,Brandon Clarke,NBA,31.55,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.510986,estk_206d343c14c4d54804749763bd15faac,evt_206d343c14c4d548,Eric Bledsoe,NBA,31.23,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.510990,estk_206d343c14c4d548653a3e7bbfb46eb0,evt_206d343c14c4d548,Bogdan Bogdanovic,NBA,29.41,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.510995,estk_206d343c14c4d5484e6934614546f665,evt_206d343c14c4d548,Ja Morant,NBA,28.79,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.510999,estk_206d343c14c4d548806121a64c461e99,evt_206d343c14c4d548,Brook Lopez,NBA,28.73,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.511003,estk_206d343c14c4d54813a6a7603aa51437,evt_206d343c14c4d548,Troy Brown,NBA,27.61,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.511006,estk_206d343c14c4d548049fe8ca7bf97ec4,evt_206d343c14c4d548,Marcus Smart,NBA,26.51,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.511010,estk_206d343c14c4d54855ca3ac70f0e0b62,evt_206d343c14c4d548,Lonzo Ball,NBA,26.09,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.511014,estk_206d343c14c4d548acf9036f85b48468,evt_206d343c14c4d548,Ish Smith,NBA,25.43,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.511018,estk_206d343c14c4d548af7276ad9c2ac994,evt_206d343c14c4d548,Dillon Brooks,NBA,25.02,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.511022,estk_206d343c14c4d5483691c43454c522a8,evt_206d343c14c4d548,Buddy Hield,NBA,24.72,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.511026,estk_206d343c14c4d548b809d1c7049b670f,evt_206d343c14c4d548,Harrison Barnes,NBA,24.57,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.511030,estk_206d343c14c4d548d70447b8832098dc,evt_206d343c14c4d548,Rui Hachimura,NBA,24.24,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.511034,estk_206d343c14c4d548b4cad04e823623ff,evt_206d343c14c4d548,Derrick Favors,NBA,24.14,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.511037,estk_206d343c14c4d548201a5680f9441b5c,evt_206d343c14c4d548,Daniel Theis,NBA,23.44,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.511041,estk_206d343c14c4d5481b62dea0e6c0b803,evt_206d343c14c4d548,Nicolo Melli,NBA,22.12,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.511045,estk_206d343c14c4d54883bebe309a436971,evt_206d343c14c4d548,Cory Joseph,NBA,21.43,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.511049,estk_206d343c14c4d5483298b0c055fa35dd,evt_206d343c14c4d548,JJ Redick,NBA,20.91,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.511053,estk_206d343c14c4d5489076cef21a11902c,evt_206d343c14c4d548,Donte DiVincenzo,NBA,19.49,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.511057,estk_206d343c14c4d548828daf68b6f4025d,evt_206d343c14c4d548,George Hill,NBA,19.23,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.511061,estk_206d343c14c4d548742e21c662c0c7b4,evt_206d343c14c4d548,Kyle Anderson,NBA,18.98,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.511064,estk_206d343c14c4d548920bf5c1b3a99895,evt_206d343c14c4d548,Jerome Robinson,NBA,18.89,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.511068,estk_206d343c14c4d5483257ca3a6c599f14,evt_206d343c14c4d548,Alex Len,NBA,18.25,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.511071,estk_206d343c14c4d54801e420d6a93820ae,evt_206d343c14c4d548,Josh Hart,NBA,17.63,,,,,,,
$500 NBA Daily 8/11,2020-08-11T13:00:24.511075,estk_206d343c14c4d548b349a48e189ba3d0,evt_206d343c14c4d548,Pat Connaughton,NBA,17.43,,,,,,,
