name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$50 NBA Daily 8/12,2020-08-11T16:00:10.016677,estk_286a090bdf27e1246cb399d24c249554,evt_286a090bdf27e124,Nikola Jokic,NBA,47.3,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016707,estk_286a090bdf27e124bb115bd4f54ff319,evt_286a090bdf27e124,Kawhi Leonard,NBA,38.66,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016716,estk_286a090bdf27e12486ea8af848cca3f6,evt_286a090bdf27e124,Chris Paul,NBA,36.01,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016720,estk_286a090bdf27e124f59563a6406f63f4,evt_286a090bdf27e124,Paul George,NBA,35.62,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016724,estk_286a090bdf27e1247c131e7cfd4ca8ad,evt_286a090bdf27e124,Pascal Siakam,NBA,33.71,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016729,estk_286a090bdf27e124ea1a2c64334f4806,evt_286a090bdf27e124,Jimmy Butler,NBA,30.88,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016733,estk_286a090bdf27e1247606efecc2a97236,evt_286a090bdf27e124,Bam Adebayo,NBA,30.88,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016737,estk_286a090bdf27e124cc28fb3568e3a1d6,evt_286a090bdf27e124,Kyle Lowry,NBA,30.68,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016741,estk_286a090bdf27e12463a58b55849249a4,evt_286a090bdf27e124,Al Horford,NBA,30.04,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016745,estk_286a090bdf27e12477c3d3d4d8ad15c5,evt_286a090bdf27e124,Tobias Harris,NBA,28.36,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016750,estk_286a090bdf27e124d4dffde4be5e9336,evt_286a090bdf27e124,Jamal Murray,NBA,28.22,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016754,estk_286a090bdf27e12433aee19dae855240,evt_286a090bdf27e124,Shai Gilgeous-Alexander,NBA,26.88,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016758,estk_286a090bdf27e12493b3dc565aebb459,evt_286a090bdf27e124,Michael Porter,NBA,26.56,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016762,estk_286a090bdf27e124cd439276c8d11f5d,evt_286a090bdf27e124,Fred VanVleet,NBA,25.92,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016766,estk_286a090bdf27e1246e1b2c66fb087a89,evt_286a090bdf27e124,Danilo Gallinari,NBA,25.49,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016770,estk_286a090bdf27e124b3147c681557a264,evt_286a090bdf27e124,Josh Richardson,NBA,25.07,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016774,estk_286a090bdf27e1244d546eba965e40a0,evt_286a090bdf27e124,Steven Adams,NBA,24.83,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016778,estk_286a090bdf27e12463cd57f03c75f817,evt_286a090bdf27e124,Paul Millsap,NBA,23.56,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016782,estk_286a090bdf27e1249c697d220453d606,evt_286a090bdf27e124,Goran Dragic,NBA,23.33,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016785,estk_286a090bdf27e1245cdd05960889fa04,evt_286a090bdf27e124,Serge Ibaka,NBA,23.05,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016789,estk_286a090bdf27e12457693decb131a860,evt_286a090bdf27e124,Lou Williams,NBA,22.79,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016793,estk_286a090bdf27e124ce8e428feaa184fb,evt_286a090bdf27e124,Dennis Schroder,NBA,22.71,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016797,estk_286a090bdf27e124d846b1bc06a60007,evt_286a090bdf27e124,Marc Gasol,NBA,22.51,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016801,estk_286a090bdf27e1240483c685aa422392,evt_286a090bdf27e124,Kelly Olynyk,NBA,22.36,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016805,estk_286a090bdf27e12485e7a39b281a7530,evt_286a090bdf27e124,Ivica Zubac,NBA,22.05,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016809,estk_286a090bdf27e12429f4c1657b835f2a,evt_286a090bdf27e124,Will Barton,NBA,21.2,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016813,estk_286a090bdf27e1246de03cb5c6424ccc,evt_286a090bdf27e124,Norman Powell,NBA,19.56,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016817,estk_286a090bdf27e1245f7238ac84504d30,evt_286a090bdf27e124,Jerami Grant,NBA,18.91,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016821,estk_286a090bdf27e124917294b6d366ae0e,evt_286a090bdf27e124,Jae Crowder,NBA,18.2,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016825,estk_286a090bdf27e12482db34a5ef5dff8e,evt_286a090bdf27e124,OG Anunoby,NBA,18.17,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016828,estk_286a090bdf27e1246e82fa5f30bdfa80,evt_286a090bdf27e124,Marcus Morris,NBA,17.67,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016832,estk_286a090bdf27e124a1e25447b314f889,evt_286a090bdf27e124,Shake Milton,NBA,17.26,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016836,estk_286a090bdf27e124ea479abf3beddc59,evt_286a090bdf27e124,Gary Harris,NBA,17,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016839,estk_286a090bdf27e124575ca725abf50fd3,evt_286a090bdf27e124,Alec Burks,NBA,16.99,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016843,estk_286a090bdf27e12460935204130384bb,evt_286a090bdf27e124,Mason Plumlee,NBA,16.94,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016847,estk_286a090bdf27e124f101f1906b677e1c,evt_286a090bdf27e124,JaMychal Green,NBA,16.89,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016851,estk_286a090bdf27e12442bc562558c2576c,evt_286a090bdf27e124,Duncan Robinson,NBA,16.64,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016855,estk_286a090bdf27e1240b5bea604e9b515d,evt_286a090bdf27e124,Nerlens Noel,NBA,16.49,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016858,estk_286a090bdf27e12438c0f853b03a1530,evt_286a090bdf27e124,Monte Morris,NBA,15.92,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016862,estk_286a090bdf27e12485078b5202b93fb5,evt_286a090bdf27e124,Luguentz Dort,NBA,15.73,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016866,estk_286a090bdf27e124b402a1af1291a618,evt_286a090bdf27e124,Patrick Beverley,NBA,15.69,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016870,estk_286a090bdf27e1248b0372db86dba9af,evt_286a090bdf27e124,Furkan Korkmaz,NBA,15.6,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016874,estk_286a090bdf27e124e9aea717e9a5e7f3,evt_286a090bdf27e124,Reggie Jackson,NBA,15.28,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016878,estk_286a090bdf27e1241fb136f015ee25f6,evt_286a090bdf27e124,Tyler Herro,NBA,14.22,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016881,estk_286a090bdf27e124d5d16483f5148c0b,evt_286a090bdf27e124,Darius Bazley,NBA,13.16,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016885,estk_286a090bdf27e124f7a31aec0adc59e2,evt_286a090bdf27e124,Landry Shamet,NBA,12.63,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016888,estk_286a090bdf27e12489a4b98163393691,evt_286a090bdf27e124,Raul Neto,NBA,4.02,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:00:10.016893,estk_286a090bdf27e1247a763361bd2f9a08,evt_286a090bdf27e124,Joel Embiid,NBA,0,,,,,,,
$50 NBA Daily 8/12,2020-08-11T16:29:21.595143,estk_286a090bdf27e1246cb399d24c249554,evt_286a090bdf27e124,Nikola Jokic,NBA,47.3,,,,15.3400,1.2200,,
