name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$500 NBA Daily 8/21,2020-08-21T14:00:15.263575,estk_2975f610c2ada5ee953b227a97f4290a,evt_2975f610c2ada5ee,Luka Doncic,NBA,52.42,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263604,estk_2975f610c2ada5ee7a763361bd2f9a08,evt_2975f610c2ada5ee,Joel Embiid,NBA,51.63,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263610,estk_2975f610c2ada5eebb115bd4f54ff319,evt_2975f610c2ada5ee,Kawhi Leonard,NBA,45.93,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263614,estk_2975f610c2ada5eea488da70359965f9,evt_2975f610c2ada5ee,Kristaps Porzingis,NBA,42.54,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263618,estk_2975f610c2ada5eef59563a6406f63f4,evt_2975f610c2ada5ee,Paul George,NBA,40.94,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263622,estk_2975f610c2ada5eeda4bddbbc347c31f,evt_2975f610c2ada5ee,Jayson Tatum,NBA,35.56,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263626,estk_2975f610c2ada5ee77c3d3d4d8ad15c5,evt_2975f610c2ada5ee,Tobias Harris,NBA,30.94,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263630,estk_2975f610c2ada5ee4b8c495d9fa8db90,evt_2975f610c2ada5ee,Jaylen Brown,NBA,30.05,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263634,estk_2975f610c2ada5eea9edb859d18234d0,evt_2975f610c2ada5ee,Kemba Walker,NBA,29.83,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263638,estk_2975f610c2ada5ee57693decb131a860,evt_2975f610c2ada5ee,Lou Williams,NBA,25.15,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263642,estk_2975f610c2ada5ee049fe8ca7bf97ec4,evt_2975f610c2ada5ee,Marcus Smart,NBA,24.75,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263651,estk_2975f610c2ada5eeb3147c681557a264,evt_2975f610c2ada5ee,Josh Richardson,NBA,24.5,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263655,estk_2975f610c2ada5ee6e82fa5f30bdfa80,evt_2975f610c2ada5ee,Marcus Morris,NBA,24.45,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263659,estk_2975f610c2ada5eedffaf5f9be93f5bc,evt_2975f610c2ada5ee,Maxi Kleber,NBA,24.15,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263663,estk_2975f610c2ada5eeaf1a06f413850d3c,evt_2975f610c2ada5ee,Montrezl Harrell,NBA,23.71,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263667,estk_2975f610c2ada5ee8bf6dd5c69dbd6c9,evt_2975f610c2ada5ee,Tim Hardaway,NBA,23.53,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263670,estk_2975f610c2ada5ee63a58b55849249a4,evt_2975f610c2ada5ee,Al Horford,NBA,22.91,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263674,estk_2975f610c2ada5ee85e7a39b281a7530,evt_2975f610c2ada5ee,Ivica Zubac,NBA,21.01,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263678,estk_2975f610c2ada5ee6d025fb040fb2e88,evt_2975f610c2ada5ee,Dorian Finney-Smith,NBA,20.6,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263681,estk_2975f610c2ada5eee9aea717e9a5e7f3,evt_2975f610c2ada5ee,Reggie Jackson,NBA,20.19,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263685,estk_2975f610c2ada5eea1e25447b314f889,evt_2975f610c2ada5ee,Shake Milton,NBA,16.51,,,,,,,
$500 NBA Daily 8/21,2020-08-21T14:00:15.263689,estk_2975f610c2ada5ee92bc30f31e413420,evt_2975f610c2ada5ee,Matisse Thybulle,NBA,16.48,,,,,,,
