name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$500 NBA Daily 8/7,2020-08-07T10:36:13.234305,estk_2d63906a7d7f57707a763361bd2f9a08,evt_2d63906a7d7f5770,Joel Embiid,NBA,46.09,,,,11.3000,9.0400,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.234305,estk_2d63906a7d7f577092a366f55dc75d93,evt_2d63906a7d7f5770,Jrue Holiday,NBA,38.96,,,,8.4400,6.7900,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.234305,estk_2d63906a7d7f577010eefe2828c2cb3c,evt_2d63906a7d7f5770,Thomas Bryant,NBA,38.11,,,,8.1800,6.5500,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.234305,estk_2d63906a7d7f5770f6c7d554d2fa9f75,evt_2d63906a7d7f5770,Nikola Vucevic,NBA,37.67,,,,8.0800,6.4300,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.234305,estk_2d63906a7d7f5770da4bddbbc347c31f,evt_2d63906a7d7f5770,Jayson Tatum,NBA,36.54,,,,7.5900,6.1400,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.234305,estk_2d63906a7d7f5770fcc6299cf30b55e3,evt_2d63906a7d7f5770,Ben Simmons,NBA,35.58,,,,7.3400,5.8700,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.234305,estk_2d63906a7d7f57707c131e7cfd4ca8ad,evt_2d63906a7d7f5770,Pascal Siakam,NBA,35.43,,,,7.2400,5.8100,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.234305,estk_2d63906a7d7f57709f778e9b41f860a6,evt_2d63906a7d7f5770,Zion Williamson,NBA,33.85,,,,6.7800,5.4400,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.234305,estk_2d63906a7d7f577050924ad9a2f1f059,evt_2d63906a7d7f5770,Brandon Ingram,NBA,33.96,,,,6.7600,5.4700,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.234305,estk_2d63906a7d7f5770cd439276c8d11f5d,evt_2d63906a7d7f5770,Fred VanVleet,NBA,32.43,,,,6.2600,5.1000,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f5770f7c5bbc448149f99,evt_2d63906a7d7f5770,Gordon Hayward,NBA,31.38,,,,5.9500,4.8400,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f5770a9edb859d18234d0,evt_2d63906a7d7f5770,Kemba Walker,NBA,30.97,,,,5.8800,4.7500,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f57704b8c495d9fa8db90,evt_2d63906a7d7f5770,Jaylen Brown,NBA,30.74,,,,5.8000,4.6900,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f5770cc28fb3568e3a1d6,evt_2d63906a7d7f5770,Kyle Lowry,NBA,30.33,,,,5.6600,4.6500,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f577055ca3ac70f0e0b62,evt_2d63906a7d7f5770,Lonzo Ball,NBA,29.82,,,,5.5400,4.5600,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f577077c3d3d4d8ad15c5,evt_2d63906a7d7f5770,Tobias Harris,NBA,29.74,,,,5.4900,4.4900,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f577063a58b55849249a4,evt_2d63906a7d7f5770,Al Horford,NBA,29.03,,,,5.2700,4.3200,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f577013a6a7603aa51437,evt_2d63906a7d7f5770,Troy Brown,NBA,27.03,,,,4.7900,3.9400,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f5770b4cad04e823623ff,evt_2d63906a7d7f5770,Derrick Favors,NBA,26.54,,,,4.6400,3.8400,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f5770049fe8ca7bf97ec4,evt_2d63906a7d7f5770,Marcus Smart,NBA,25.89,,,,4.5600,3.7500,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f5770d70447b8832098dc,evt_2d63906a7d7f5770,Rui Hachimura,NBA,25.79,,,,4.4800,3.7100,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f5770201a5680f9441b5c,evt_2d63906a7d7f5770,Daniel Theis,NBA,24.88,,,,4.2900,3.5500,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f5770d846b1bc06a60007,evt_2d63906a7d7f5770,Marc Gasol,NBA,24.09,,,,4.0900,3.4200,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f5770b3147c681557a264,evt_2d63906a7d7f5770,Josh Richardson,NBA,23.09,,,,3.9400,3.2500,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f577058d79b9f2662f624,evt_2d63906a7d7f5770,Evan Fournier,NBA,22.97,,,,3.8600,3.2200,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f57709f8e5b254a67e7a0,evt_2d63906a7d7f5770,Shabazz Napier,NBA,22.71,,,,3.8300,3.2000,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f5770acf9036f85b48468,evt_2d63906a7d7f5770,Ish Smith,NBA,21.98,,,,3.7000,3.1000,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f5770663b3162753394ed,evt_2d63906a7d7f5770,Terrence Ross,NBA,21.69,,,,3.6400,3.0400,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f57705cdd05960889fa04,evt_2d63906a7d7f5770,Serge Ibaka,NBA,21.67,,,,3.6100,3.0500,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f5770a1e25447b314f889,evt_2d63906a7d7f5770,Shake Milton,NBA,20.67,,,,3.4400,2.8800,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f577082db34a5ef5dff8e,evt_2d63906a7d7f5770,OG Anunoby,NBA,20.1,,,,3.2800,2.8100,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f57703298b0c055fa35dd,evt_2d63906a7d7f5770,JJ Redick,NBA,19.98,,,,3.2600,2.8000,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f57707d8f05cf2dd6dbea,evt_2d63906a7d7f5770,D.J. Augustin,NBA,19.57,,,,3.2200,2.7400,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f5770920bf5c1b3a99895,evt_2d63906a7d7f5770,Jerome Robinson,NBA,19.29,,,,3.1600,2.6900,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f5770156a3aaad17a2e07,evt_2d63906a7d7f5770,Isaac Bonga,NBA,19.08,,,,3.1300,2.6700,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f57701b62dea0e6c0b803,evt_2d63906a7d7f5770,Nicolo Melli,NBA,17.8,,,,2.9200,2.5100,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f5770f95aa87cc77383be,evt_2d63906a7d7f5770,Markelle Fultz,NBA,17.25,,,,2.8400,2.4400,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f57706de03cb5c6424ccc,evt_2d63906a7d7f5770,Norman Powell,NBA,16.29,,,,2.7300,2.3300,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f577089a4b98163393691,evt_2d63906a7d7f5770,Raul Neto,NBA,15.81,,,,2.7000,2.2800,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f577001e420d6a93820ae,evt_2d63906a7d7f5770,Josh Hart,NBA,16.04,,,,2.6500,2.3100,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f57702d6f8355da37442f,evt_2d63906a7d7f5770,Enes Kanter,NBA,15.28,,,,2.5700,2.2200,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f57708b0372db86dba9af,evt_2d63906a7d7f5770,Furkan Korkmaz,NBA,14.71,,,,2.4600,2.1800,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f57705684a141296027b3,evt_2d63906a7d7f5770,James Ennis,NBA,14.35,,,,2.4300,2.1400,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f57700b618101d2ec3008,evt_2d63906a7d7f5770,Moritz Wagner,NBA,12.62,,,,2.2500,1.9800,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f577092bc30f31e413420,evt_2d63906a7d7f5770,Matisse Thybulle,NBA,11.92,,,,2.1700,1.9200,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f5770b5fd25e4dceadb5c,evt_2d63906a7d7f5770,Terence Davis,NBA,10.73,,,,2.0400,1.8300,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f57705a3d5db921064e90,evt_2d63906a7d7f5770,Michael Carter-Williams,NBA,0,,,,1.0000,1.0000,,
$500 NBA Daily 8/7,2020-08-07T10:36:13.235301,estk_2d63906a7d7f577055086ea38656fe99,evt_2d63906a7d7f5770,Aaron Gordon,NBA,0,,,,1.0000,2.3600,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.348896,estk_2d63906a7d7f57707a763361bd2f9a08,evt_2d63906a7d7f5770,Joel Embiid,NBA,46.09,,,,11.3300,9.0600,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.348896,estk_2d63906a7d7f577092a366f55dc75d93,evt_2d63906a7d7f5770,Jrue Holiday,NBA,38.96,,,,8.5700,6.7900,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.348896,estk_2d63906a7d7f577010eefe2828c2cb3c,evt_2d63906a7d7f5770,Thomas Bryant,NBA,38.11,,,,8.1900,6.5500,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.348896,estk_2d63906a7d7f5770f6c7d554d2fa9f75,evt_2d63906a7d7f5770,Nikola Vucevic,NBA,37.67,,,,8.0900,6.4500,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.348896,estk_2d63906a7d7f5770da4bddbbc347c31f,evt_2d63906a7d7f5770,Jayson Tatum,NBA,36.54,,,,7.6700,6.1500,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.348896,estk_2d63906a7d7f5770fcc6299cf30b55e3,evt_2d63906a7d7f5770,Ben Simmons,NBA,35.58,,,,7.2700,5.8900,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.348896,estk_2d63906a7d7f57707c131e7cfd4ca8ad,evt_2d63906a7d7f5770,Pascal Siakam,NBA,35.43,,,,7.2100,5.8200,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f57709f778e9b41f860a6,evt_2d63906a7d7f5770,Zion Williamson,NBA,33.85,,,,6.7600,5.4500,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f577050924ad9a2f1f059,evt_2d63906a7d7f5770,Brandon Ingram,NBA,33.96,,,,6.7500,5.4700,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f5770cd439276c8d11f5d,evt_2d63906a7d7f5770,Fred VanVleet,NBA,32.43,,,,6.3000,5.1000,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f5770f7c5bbc448149f99,evt_2d63906a7d7f5770,Gordon Hayward,NBA,31.38,,,,5.9900,4.8500,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f57704b8c495d9fa8db90,evt_2d63906a7d7f5770,Jaylen Brown,NBA,30.74,,,,5.7800,4.7000,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f5770a9edb859d18234d0,evt_2d63906a7d7f5770,Kemba Walker,NBA,30.97,,,,5.7700,4.7600,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f5770cc28fb3568e3a1d6,evt_2d63906a7d7f5770,Kyle Lowry,NBA,30.33,,,,5.6800,4.6500,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f577055ca3ac70f0e0b62,evt_2d63906a7d7f5770,Lonzo Ball,NBA,29.82,,,,5.5300,4.5600,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f577077c3d3d4d8ad15c5,evt_2d63906a7d7f5770,Tobias Harris,NBA,29.74,,,,5.4700,4.4900,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f577063a58b55849249a4,evt_2d63906a7d7f5770,Al Horford,NBA,29.03,,,,5.3400,4.3200,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f577013a6a7603aa51437,evt_2d63906a7d7f5770,Troy Brown,NBA,27.03,,,,4.8700,3.9400,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f5770b4cad04e823623ff,evt_2d63906a7d7f5770,Derrick Favors,NBA,26.54,,,,4.6700,3.8500,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f5770049fe8ca7bf97ec4,evt_2d63906a7d7f5770,Marcus Smart,NBA,25.89,,,,4.5300,3.7500,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f5770d70447b8832098dc,evt_2d63906a7d7f5770,Rui Hachimura,NBA,25.79,,,,4.4800,3.7100,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f5770201a5680f9441b5c,evt_2d63906a7d7f5770,Daniel Theis,NBA,24.88,,,,4.3100,3.5500,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f5770d846b1bc06a60007,evt_2d63906a7d7f5770,Marc Gasol,NBA,24.09,,,,4.0900,3.4300,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f5770b3147c681557a264,evt_2d63906a7d7f5770,Josh Richardson,NBA,23.09,,,,3.8600,3.2600,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f577058d79b9f2662f624,evt_2d63906a7d7f5770,Evan Fournier,NBA,22.97,,,,3.8400,3.2200,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f57709f8e5b254a67e7a0,evt_2d63906a7d7f5770,Shabazz Napier,NBA,22.71,,,,3.8200,3.2000,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f5770acf9036f85b48468,evt_2d63906a7d7f5770,Ish Smith,NBA,21.98,,,,3.6800,3.1000,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f5770663b3162753394ed,evt_2d63906a7d7f5770,Terrence Ross,NBA,21.69,,,,3.6100,3.0400,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f57705cdd05960889fa04,evt_2d63906a7d7f5770,Serge Ibaka,NBA,21.67,,,,3.5900,3.0500,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f5770a1e25447b314f889,evt_2d63906a7d7f5770,Shake Milton,NBA,20.67,,,,3.4100,2.8800,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f577082db34a5ef5dff8e,evt_2d63906a7d7f5770,OG Anunoby,NBA,20.1,,,,3.3100,2.8100,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f57703298b0c055fa35dd,evt_2d63906a7d7f5770,JJ Redick,NBA,19.98,,,,3.2700,2.8000,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f5770920bf5c1b3a99895,evt_2d63906a7d7f5770,Jerome Robinson,NBA,19.29,,,,3.2000,2.7100,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f57707d8f05cf2dd6dbea,evt_2d63906a7d7f5770,D.J. Augustin,NBA,19.57,,,,3.1900,2.7400,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f5770156a3aaad17a2e07,evt_2d63906a7d7f5770,Isaac Bonga,NBA,19.08,,,,3.1500,2.6800,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f57701b62dea0e6c0b803,evt_2d63906a7d7f5770,Nicolo Melli,NBA,17.8,,,,2.9500,2.5100,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f5770f95aa87cc77383be,evt_2d63906a7d7f5770,Markelle Fultz,NBA,17.25,,,,2.8300,2.4400,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f57706de03cb5c6424ccc,evt_2d63906a7d7f5770,Norman Powell,NBA,16.29,,,,2.6900,2.3300,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f577001e420d6a93820ae,evt_2d63906a7d7f5770,Josh Hart,NBA,16.04,,,,2.6800,2.3100,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f577089a4b98163393691,evt_2d63906a7d7f5770,Raul Neto,NBA,15.81,,,,2.6000,2.2800,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f57702d6f8355da37442f,evt_2d63906a7d7f5770,Enes Kanter,NBA,15.28,,,,2.5800,2.2300,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f57708b0372db86dba9af,evt_2d63906a7d7f5770,Furkan Korkmaz,NBA,14.71,,,,2.4600,2.1800,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f57705684a141296027b3,evt_2d63906a7d7f5770,James Ennis,NBA,14.35,,,,2.4100,2.1400,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f57700b618101d2ec3008,evt_2d63906a7d7f5770,Moritz Wagner,NBA,12.62,,,,2.2400,1.9800,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f577092bc30f31e413420,evt_2d63906a7d7f5770,Matisse Thybulle,NBA,11.92,,,,2.1500,1.9200,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f5770b5fd25e4dceadb5c,evt_2d63906a7d7f5770,Terence Davis,NBA,10.73,,,,2.0700,1.8300,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f57705a3d5db921064e90,evt_2d63906a7d7f5770,Michael Carter-Williams,NBA,0,,,,1.0000,1.0000,,
$500 NBA Daily 8/7,2020-08-07T10:39:00.349900,estk_2d63906a7d7f577055086ea38656fe99,evt_2d63906a7d7f5770,Aaron Gordon,NBA,0,,,,1.0000,2.3600,,
$500 NBA Daily 8/7,2020-08-07T15:49:11.826441,estk_2d63906a7d7f57707a763361bd2f9a08,evt_2d63906a7d7f5770,Joel Embiid,NBA,46.09,,,,11.4000,9.0900,,
$500 NBA Daily 8/7,2020-08-07T15:49:11.826472,estk_2d63906a7d7f577092a366f55dc75d93,evt_2d63906a7d7f5770,Jrue Holiday,NBA,38.96,,,,8.5100,6.8500,,
$500 NBA Daily 8/7,2020-08-07T15:49:11.826477,estk_2d63906a7d7f577010eefe2828c2cb3c,evt_2d63906a7d7f5770,Thomas Bryant,NBA,38.11,,,,8.1600,6.6300,,
$500 NBA Daily 8/7,2020-08-07T15:49:11.826481,estk_2d63906a7d7f5770f6c7d554d2fa9f75,evt_2d63906a7d7f5770,Nikola Vucevic,NBA,37.67,,,,8.0500,6.5100,,
$500 NBA Daily 8/7,2020-08-07T15:49:11.826485,estk_2d63906a7d7f5770da4bddbbc347c31f,evt_2d63906a7d7f5770,Jayson Tatum,NBA,36.54,,,,7.5900,6.1500,,
$500 NBA Daily 8/7,2020-08-07T15:49:11.826488,estk_2d63906a7d7f5770fcc6299cf30b55e3,evt_2d63906a7d7f5770,Ben Simmons,NBA,35.58,,,,7.3000,5.9300,,
$500 NBA Daily 8/7,2020-08-07T15:49:11.826492,estk_2d63906a7d7f57707c131e7cfd4ca8ad,evt_2d63906a7d7f5770,Pascal Siakam,NBA,35.43,,,,7.2200,5.8700,,
$500 NBA Daily 8/7,2020-08-07T15:49:11.826496,estk_2d63906a7d7f577050924ad9a2f1f059,evt_2d63906a7d7f5770,Brandon Ingram,NBA,33.96,,,,6.7400,5.5100,,
$500 NBA Daily 8/7,2020-08-07T15:49:11.826499,estk_2d63906a7d7f57709f778e9b41f860a6,evt_2d63906a7d7f5770,Zion Williamson,NBA,33.85,,,,6.7300,5.4800,,
$500 NBA Daily 8/7,2020-08-07T15:49:11.826503,estk_2d63906a7d7f5770cd439276c8d11f5d,evt_2d63906a7d7f5770,Fred VanVleet,NBA,32.43,,,,6.3600,5.1300,,
$500 NBA Daily 8/7,2020-08-07T15:49:11.826506,estk_2d63906a7d7f5770f7c5bbc448149f99,evt_2d63906a7d7f5770,Gordon Hayward,NBA,31.38,,,,6.0000,4.8900,,
$500 NBA Daily 8/7,2020-08-07T15:49:11.826510,estk_2d63906a7d7f5770a9edb859d18234d0,evt_2d63906a7d7f5770,Kemba Walker,NBA,30.97,,,,5.8900,4.7900,,
$500 NBA Daily 8/7,2020-08-07T15:49:11.826513,estk_2d63906a7d7f57704b8c495d9fa8db90,evt_2d63906a7d7f5770,Jaylen Brown,NBA,30.74,,,,5.8000,4.7300,,
$500 NBA Daily 8/7,2020-08-07T15:49:11.826517,estk_2d63906a7d7f5770cc28fb3568e3a1d6,evt_2d63906a7d7f5770,Kyle Lowry,NBA,30.33,,,,5.6900,4.6600,,
$500 NBA Daily 8/7,2020-08-07T15:49:11.826520,estk_2d63906a7d7f577055ca3ac70f0e0b62,evt_2d63906a7d7f5770,Lonzo Ball,NBA,29.82,,,,5.5500,4.5600,,
$500 NBA Daily 8/7,2020-08-07T15:49:11.826524,estk_2d63906a7d7f577077c3d3d4d8ad15c5,evt_2d63906a7d7f5770,Tobias Harris,NBA,29.74,,,,5.4700,4.5100,,
$500 NBA Daily 8/7,2020-08-07T15:49:11.826527,estk_2d63906a7d7f577063a58b55849249a4,evt_2d63906a7d7f5770,Al Horford,NBA,29.03,,,,5.2500,4.3700,,
$500 NBA Daily 8/7,2020-08-07T15:49:11.826531,estk_2d63906a7d7f577013a6a7603aa51437,evt_2d63906a7d7f5770,Troy Brown,NBA,27.03,,,,4.8400,3.9900,,
$500 NBA Daily 8/7,2020-08-07T15:49:11.826534,estk_2d63906a7d7f5770b4cad04e823623ff,evt_2d63906a7d7f5770,Derrick Favors,NBA,26.54,,,,4.6300,3.8900,,
$500 NBA Daily 8/7,2020-08-07T15:49:11.826537,estk_2d63906a7d7f5770d70447b8832098dc,evt_2d63906a7d7f5770,Rui Hachimura,NBA,25.79,,,,4.4900,3.7400,,
