name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
PGA Championship Test Market,2020-08-07T10:39:56.375949,estk_3a1f52a9cf875c348eb46850755a695e,evt_3a1f52a9cf875c34,Xander Schauffele,PGA,78.03,80.52,22,0.25,9.6400,7.0500,11.0300,7.9600
PGA Championship Test Market,2020-08-07T10:39:56.375949,estk_3a1f52a9cf875c34e0b5b2fc83a00c65,evt_3a1f52a9cf875c34,Gary Woodland,PGA,78.98,80.23,21,0.25,9.5200,7.5500,10.8200,7.8200
PGA Championship Test Market,2020-08-07T10:39:56.375949,estk_3a1f52a9cf875c3403fcb99bd098267b,evt_3a1f52a9cf875c34,Patrick Reed,PGA,79.17,80,23,0.28,9.1000,7.6200,10.6400,7.3400
PGA Championship Test Market,2020-08-07T10:39:56.375949,estk_3a1f52a9cf875c34d11048af6a9aa9e4,evt_3a1f52a9cf875c34,Bryson DeChambeau,PGA,78.8,79.1,20,0.25,8.5500,7.3700,10.5200,7.3000
PGA Championship Test Market,2020-08-07T10:39:56.375949,estk_3a1f52a9cf875c34db5881f101cec470,evt_3a1f52a9cf875c34,Justin Rose,PGA,75.99,78.99,22,0.25,8.4200,6.0800,9.9000,7.0300
PGA Championship Test Market,2020-08-07T10:39:56.375949,estk_3a1f52a9cf875c34f659aa7b5b2176ee,evt_3a1f52a9cf875c34,Collin Morikawa,PGA,79.54,78.66,19,0.25,8.3000,7.8000,9.7000,6.7300
PGA Championship Test Market,2020-08-07T10:39:56.375949,estk_3a1f52a9cf875c34f40801c5943c8d94,evt_3a1f52a9cf875c34,Jon Rahm,PGA,79.94,77.95,18,0.25,7.8400,7.9400,9.4300,6.5300
PGA Championship Test Market,2020-08-07T10:39:56.375949,estk_3a1f52a9cf875c34503f60443b3bd112,evt_3a1f52a9cf875c34,Webb Simpson,PGA,80.61,77.46,17,0.25,7.5800,8.2700,9.1600,5.9600
PGA Championship Test Market,2020-08-07T10:39:56.375949,estk_3a1f52a9cf875c34c2291b803160b17e,evt_3a1f52a9cf875c34,Daniel Berger,PGA,75.51,77.63,21,0.25,7.5500,5.8800,9.0200,6.1800
PGA Championship Test Market,2020-08-07T10:39:56.375949,estk_3a1f52a9cf875c34d84407620d2d9cf0,evt_3a1f52a9cf875c34,Tony Finau,PGA,75.05,77.29,21,0.25,7.4200,5.6800,8.8100,5.8900
PGA Championship Test Market,2020-08-07T10:39:56.376948,estk_3a1f52a9cf875c34514f8f232f286c88,evt_3a1f52a9cf875c34,Tiger Woods,PGA,76.3,77.22,20,0.25,7.4100,6.2600,8.8100,5.8900
PGA Championship Test Market,2020-08-07T10:39:56.376948,estk_3a1f52a9cf875c34385c664e153f199a,evt_3a1f52a9cf875c34,Rory McIlroy,PGA,78.84,77.13,18,0.25,7.3900,7.4000,8.9600,5.8800
PGA Championship Test Market,2020-08-07T10:39:56.376948,estk_3a1f52a9cf875c34277e17576c06f23a,evt_3a1f52a9cf875c34,Abraham Ancer,PGA,76.31,76.23,19,0.25,6.7500,6.2300,8.1100,5.3200
PGA Championship Test Market,2020-08-07T10:39:56.376948,estk_3a1f52a9cf875c346e48ec89ea29f9f8,evt_3a1f52a9cf875c34,Justin Thomas,PGA,78.14,75.61,17,0.25,6.4200,7.0500,7.9100,4.9200
PGA Championship Test Market,2020-08-07T10:39:56.376948,estk_3a1f52a9cf875c349cb9fc3fe55be3c0,evt_3a1f52a9cf875c34,Adam Scott,PGA,73.25,74.94,20,0.25,6.1600,4.9900,7.5000,4.8800
PGA Championship Test Market,2020-08-07T10:39:56.376948,estk_3a1f52a9cf875c34077d445dd9eef8da,evt_3a1f52a9cf875c34,Patrick Cantlay,PGA,79.79,74.84,15,0.25,6.0300,7.9100,7.4600,4.5900
PGA Championship Test Market,2020-08-07T10:39:56.376948,estk_3a1f52a9cf875c3433ae0bbc78db2949,evt_3a1f52a9cf875c34,Dustin Johnson,PGA,73.92,74.44,19,0.25,5.7400,7.0600,7.1600,4.5400
PGA Championship Test Market,2020-08-07T10:39:56.376948,estk_3a1f52a9cf875c34527c5abfc1093b26,evt_3a1f52a9cf875c34,Hideki Matsuyama,PGA,73.23,74.19,20,0.26,5.6100,7.1100,6.9300,3.9200
PGA Championship Test Market,2020-08-07T10:39:56.376948,estk_3a1f52a9cf875c346db374755563ce83,evt_3a1f52a9cf875c34,Bubba Watson,PGA,74.72,73.8,20,0.28,5.3500,5.5500,7.0100,4.3300
PGA Championship Test Market,2020-08-07T10:39:56.376948,estk_3a1f52a9cf875c343116b24358a8f507,evt_3a1f52a9cf875c34,Louis Oosthuizen,PGA,73.68,73.26,18,0.25,5.2000,6.4800,6.9200,3.9300
PGA Championship Test Market,2020-08-07T10:39:56.376948,estk_3a1f52a9cf875c34fe200133ec8a6c41,evt_3a1f52a9cf875c34,Tyrrell Hatton,PGA,75.11,72.33,16,0.25,4.8700,6.1300,6.1300,3.3700
