name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$250 Wyndham Championship,2020-08-11T21:05:27.662111,estk_443bf2fd696df683503f60443b3bd112,evt_443bf2fd696df683,Webb Simpson,PGA,79.15,,,,13.5600,1.0200,,
$250 Wyndham Championship,2020-08-11T21:05:27.662141,estk_443bf2fd696df68303fcb99bd098267b,evt_443bf2fd696df683,Patrick Reed,PGA,78.09,,,,12.7100,1.0200,,
$250 Wyndham Championship,2020-08-11T21:05:27.662146,estk_443bf2fd696df68330ccd165c4aa611d,evt_443bf2fd696df683,Brooks Koepka,PGA,76.15,,,,11.2900,1.0100,,
$250 Wyndham Championship,2020-08-11T21:05:27.662150,estk_443bf2fd696df683db5881f101cec470,evt_443bf2fd696df683,Justin Rose,PGA,74.58,,,,10.2000,1.0200,,
$250 Wyndham Championship,2020-08-11T21:05:27.662157,estk_443bf2fd696df683e64a0e6fb2b31683,evt_443bf2fd696df683,Rafa Cabrera Bello,PGA,71.6,,,,8.3000,1.0100,,
$250 Wyndham Championship,2020-08-11T21:05:27.662161,estk_443bf2fd696df6836cf2ca706ee5c6ba,evt_443bf2fd696df683,Zach Johnson,PGA,70.96,,,,7.9000,1.0100,,
$250 Wyndham Championship,2020-08-11T21:05:27.662166,estk_443bf2fd696df683a251d6b9cc0a07e5,evt_443bf2fd696df683,Sungjae Im,PGA,70.86,,,,7.8200,1.0100,,
$250 Wyndham Championship,2020-08-11T21:05:27.662169,estk_443bf2fd696df683694b41dae4b8654f,evt_443bf2fd696df683,Lucas Glover,PGA,70.44,,,,7.6200,1.0100,,
$250 Wyndham Championship,2020-08-11T21:05:27.662173,estk_443bf2fd696df6835e6a5c337da2b39d,evt_443bf2fd696df683,Matthias Schwab,PGA,70.52,,,,7.6100,1.0100,,
$250 Wyndham Championship,2020-08-11T21:05:27.662176,estk_443bf2fd696df683dda748b4200f22bf,evt_443bf2fd696df683,Paul Casey,PGA,70.47,,,,7.6000,,,
$250 Wyndham Championship,2020-08-11T21:05:27.662180,estk_443bf2fd696df683170130e9fa731e23,evt_443bf2fd696df683,Jason Kokrak,PGA,69.7,,,,7.1800,1.0100,,
$250 Wyndham Championship,2020-08-11T21:05:27.662184,estk_443bf2fd696df6832ab98d8a9a770fd5,evt_443bf2fd696df683,Jordan Spieth,PGA,69.68,,,,7.1300,1.0100,,
$250 Wyndham Championship,2020-08-11T21:05:27.662187,estk_443bf2fd696df68356ab6ba90ba02e56,evt_443bf2fd696df683,Joaquin Niemann,PGA,69.43,,,,7.0000,1.0100,,
