name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$50 NBA Daily 8/13,2020-08-12T16:00:19.195461,estk_4a80d234351242d2f6c7d554d2fa9f75,evt_4a80d234351242d2,Nikola Vucevic,NBA,44.2,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195490,estk_4a80d234351242d201113a8407ed38e2,evt_4a80d234351242d2,Damian Lillard,NBA,43.7,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195495,estk_4a80d234351242d22d5eb9139e57478c,evt_4a80d234351242d2,Rudy Gobert,NBA,40.9,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195500,estk_4a80d234351242d21a3043d6384c59cc,evt_4a80d234351242d2,Jusuf Nurkic,NBA,37.99,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195504,estk_4a80d234351242d266ecfa0bb24ccc58,evt_4a80d234351242d2,Donovan Mitchell,NBA,36.32,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195507,estk_4a80d234351242d292a366f55dc75d93,evt_4a80d234351242d2,Jrue Holiday,NBA,35.31,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195512,estk_4a80d234351242d24641ef307a4855e5,evt_4a80d234351242d2,CJ McCollum,NBA,32.77,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195516,estk_4a80d234351242d24f8bfd04c6dc18eb,evt_4a80d234351242d2,Caris LeVert,NBA,31.99,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195519,estk_4a80d234351242d2d990c82c4ca85db2,evt_4a80d234351242d2,DeMar DeRozan,NBA,31.99,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195524,estk_4a80d234351242d255086ea38656fe99,evt_4a80d234351242d2,Aaron Gordon,NBA,31.33,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195528,estk_4a80d234351242d276c100ef2f1e6d85,evt_4a80d234351242d2,Jarrett Allen,NBA,31.21,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195531,estk_4a80d234351242d250924ad9a2f1f059,evt_4a80d234351242d2,Brandon Ingram,NBA,30.51,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195535,estk_4a80d234351242d22c3266def21aaa4b,evt_4a80d234351242d2,Mike Conley,NBA,26.89,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195539,estk_4a80d234351242d255ca3ac70f0e0b62,evt_4a80d234351242d2,Lonzo Ball,NBA,26.2,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195543,estk_4a80d234351242d23c7eaf589d0dd271,evt_4a80d234351242d2,Joe Harris,NBA,26.16,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195547,estk_4a80d234351242d258d79b9f2662f624,evt_4a80d234351242d2,Evan Fournier,NBA,25,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195550,estk_4a80d234351242d247fcee6df283df96,evt_4a80d234351242d2,Joe Ingles,NBA,24.69,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195554,estk_4a80d234351242d2b4cad04e823623ff,evt_4a80d234351242d2,Derrick Favors,NBA,24.36,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195558,estk_4a80d234351242d2b1f75a880e970eed,evt_4a80d234351242d2,Jordan Clarkson,NBA,24.16,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195562,estk_4a80d234351242d26a7e9a693923060b,evt_4a80d234351242d2,Carmelo Anthony,NBA,23.81,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195566,estk_4a80d234351242d2487417e1e5d7f89a,evt_4a80d234351242d2,Zach Collins,NBA,22.33,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195570,estk_4a80d234351242d29ff8269f39a3a9ef,evt_4a80d234351242d2,Dejounte Murray,NBA,22.07,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195574,estk_4a80d234351242d2f95aa87cc77383be,evt_4a80d234351242d2,Markelle Fultz,NBA,21.98,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195577,estk_4a80d234351242d2574634846501d886,evt_4a80d234351242d2,Royce O'Neale,NBA,21.76,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195581,estk_4a80d234351242d20b04a4c808a880c2,evt_4a80d234351242d2,Gary Trent,NBA,21.34,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195585,estk_4a80d234351242d23298b0c055fa35dd,evt_4a80d234351242d2,JJ Redick,NBA,20.79,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195588,estk_4a80d234351242d21fa4838d30549dd8,evt_4a80d234351242d2,Derrick White,NBA,20.56,,,,,,,
$50 NBA Daily 8/13,2020-08-12T16:00:19.195592,estk_4a80d234351242d231303064abb30322,evt_4a80d234351242d2,Hassan Whiteside,NBA,20.09,,,,,,,
