name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
Wyndham Championship Test Market,2020-08-13T09:08:24.109937,estk_6bca21b626c15114503f60443b3bd112,evt_6bca21b626c15114,Webb Simpson,PGA,79.15,,,,12.2000,1.7600,,
Wyndham Championship Test Market,2020-08-13T09:08:24.109963,estk_6bca21b626c1511403fcb99bd098267b,evt_6bca21b626c15114,Patrick Reed,PGA,78.09,,,,11.5100,1.7200,,
Wyndham Championship Test Market,2020-08-13T09:08:24.109969,estk_6bca21b626c1511430ccd165c4aa611d,evt_6bca21b626c15114,Brooks Koepka,PGA,76.15,,,,10.3300,1.6400,,
Wyndham Championship Test Market,2020-08-13T09:08:24.109973,estk_6bca21b626c15114db5881f101cec470,evt_6bca21b626c15114,Justin Rose,PGA,74.58,,,,9.3600,1.5700,,
Wyndham Championship Test Market,2020-08-13T09:08:24.109977,estk_6bca21b626c15114e64a0e6fb2b31683,evt_6bca21b626c15114,Rafa Cabrera Bello,PGA,71.6,,,,7.5800,1.4400,,
Wyndham Championship Test Market,2020-08-13T09:08:24.109981,estk_6bca21b626c151146cf2ca706ee5c6ba,evt_6bca21b626c15114,Zach Johnson,PGA,70.96,,,,7.2600,1.4300,,
Wyndham Championship Test Market,2020-08-13T09:08:24.109985,estk_6bca21b626c15114a251d6b9cc0a07e5,evt_6bca21b626c15114,Sungjae Im,PGA,70.86,,,,7.1700,1.4200,,
Wyndham Championship Test Market,2020-08-13T09:08:24.109988,estk_6bca21b626c151145e6a5c337da2b39d,evt_6bca21b626c15114,Matthias Schwab,PGA,70.52,,,,6.9800,1.4100,,
Wyndham Championship Test Market,2020-08-13T09:08:24.109992,estk_6bca21b626c15114694b41dae4b8654f,evt_6bca21b626c15114,Lucas Glover,PGA,70.44,,,,6.9700,1.4100,,
Wyndham Championship Test Market,2020-08-13T09:08:24.109996,estk_6bca21b626c15114dda748b4200f22bf,evt_6bca21b626c15114,Paul Casey,PGA,70.47,,,,6.9500,1.4100,,
