name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$500 NBA Daily 8/13,2020-08-12T16:00:19.304270,estk_704bf44927134484f6c7d554d2fa9f75,evt_704bf44927134484,Nikola Vucevic,NBA,44.2,,,,,,,
$500 NBA Daily 8/13,2020-08-12T16:00:19.304301,estk_704bf4492713448401113a8407ed38e2,evt_704bf44927134484,Damian Lillard,NBA,43.7,,,,,,,
$500 NBA Daily 8/13,2020-08-12T16:00:19.304306,estk_704bf449271344842d5eb9139e57478c,evt_704bf44927134484,Rudy Gobert,NBA,40.9,,,,,,,
$500 NBA Daily 8/13,2020-08-12T16:00:19.304310,estk_704bf449271344841a3043d6384c59cc,evt_704bf44927134484,Jusuf Nurkic,NBA,37.99,,,,,,,
$500 NBA Daily 8/13,2020-08-12T16:00:19.304314,estk_704bf4492713448466ecfa0bb24ccc58,evt_704bf44927134484,Donovan Mitchell,NBA,36.32,,,,,,,
$500 NBA Daily 8/13,2020-08-12T16:00:19.304318,estk_704bf4492713448492a366f55dc75d93,evt_704bf44927134484,Jrue Holiday,NBA,35.31,,,,,,,
$500 NBA Daily 8/13,2020-08-12T16:00:19.304322,estk_704bf449271344844641ef307a4855e5,evt_704bf44927134484,CJ McCollum,NBA,32.77,,,,,,,
$500 NBA Daily 8/13,2020-08-12T16:00:19.304326,estk_704bf449271344844f8bfd04c6dc18eb,evt_704bf44927134484,Caris LeVert,NBA,31.99,,,,,,,
$500 NBA Daily 8/13,2020-08-12T16:00:19.304330,estk_704bf44927134484d990c82c4ca85db2,evt_704bf44927134484,DeMar DeRozan,NBA,31.99,,,,,,,
$500 NBA Daily 8/13,2020-08-12T16:00:19.304334,estk_704bf4492713448455086ea38656fe99,evt_704bf44927134484,Aaron Gordon,NBA,31.33,,,,,,,
$500 NBA Daily 8/13,2020-08-12T16:00:19.304338,estk_704bf4492713448476c100ef2f1e6d85,evt_704bf44927134484,Jarrett Allen,NBA,31.21,,,,,,,
$500 NBA Daily 8/13,2020-08-12T16:00:19.304341,estk_704bf4492713448450924ad9a2f1f059,evt_704bf44927134484,Brandon Ingram,NBA,30.51,,,,,,,
$500 NBA Daily 8/13,2020-08-12T16:00:19.304345,estk_704bf449271344842c3266def21aaa4b,evt_704bf44927134484,Mike Conley,NBA,26.89,,,,,,,
$500 NBA Daily 8/13,2020-08-12T16:00:19.304349,estk_704bf4492713448455ca3ac70f0e0b62,evt_704bf44927134484,Lonzo Ball,NBA,26.2,,,,,,,
$500 NBA Daily 8/13,2020-08-12T16:00:19.304353,estk_704bf449271344843c7eaf589d0dd271,evt_704bf44927134484,Joe Harris,NBA,26.16,,,,,,,
