name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$50 NBA Daily 8/19,2020-08-19T14:00:31.118713,estk_82825eae0106dc30953b227a97f4290a,evt_82825eae0106dc30,Luka Doncic,NBA,53.77,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118743,estk_82825eae0106dc307a763361bd2f9a08,evt_82825eae0106dc30,Joel Embiid,NBA,51.68,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118748,estk_82825eae0106dc30bb115bd4f54ff319,evt_82825eae0106dc30,Kawhi Leonard,NBA,44.79,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118752,estk_82825eae0106dc30a488da70359965f9,evt_82825eae0106dc30,Kristaps Porzingis,NBA,42.71,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118756,estk_82825eae0106dc30f59563a6406f63f4,evt_82825eae0106dc30,Paul George,NBA,41.11,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118761,estk_82825eae0106dc30da4bddbbc347c31f,evt_82825eae0106dc30,Jayson Tatum,NBA,37.4,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118764,estk_82825eae0106dc30a9edb859d18234d0,evt_82825eae0106dc30,Kemba Walker,NBA,33.64,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118768,estk_82825eae0106dc304b8c495d9fa8db90,evt_82825eae0106dc30,Jaylen Brown,NBA,32.52,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118772,estk_82825eae0106dc3077c3d3d4d8ad15c5,evt_82825eae0106dc30,Tobias Harris,NBA,31.86,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118776,estk_82825eae0106dc3063a58b55849249a4,evt_82825eae0106dc30,Al Horford,NBA,28.59,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118780,estk_82825eae0106dc30049fe8ca7bf97ec4,evt_82825eae0106dc30,Marcus Smart,NBA,25.53,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118784,estk_82825eae0106dc30b3147c681557a264,evt_82825eae0106dc30,Josh Richardson,NBA,25.16,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118788,estk_82825eae0106dc30dffaf5f9be93f5bc,evt_82825eae0106dc30,Maxi Kleber,NBA,23.45,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118792,estk_82825eae0106dc306e82fa5f30bdfa80,evt_82825eae0106dc30,Marcus Morris,NBA,22.95,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118796,estk_82825eae0106dc308bf6dd5c69dbd6c9,evt_82825eae0106dc30,Tim Hardaway,NBA,22.88,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118799,estk_82825eae0106dc30af1a06f413850d3c,evt_82825eae0106dc30,Montrezl Harrell,NBA,22.82,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118803,estk_82825eae0106dc306d025fb040fb2e88,evt_82825eae0106dc30,Dorian Finney-Smith,NBA,22.64,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118807,estk_82825eae0106dc3057693decb131a860,evt_82825eae0106dc30,Lou Williams,NBA,21.6,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118810,estk_82825eae0106dc3085e7a39b281a7530,evt_82825eae0106dc30,Ivica Zubac,NBA,21.15,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118814,estk_82825eae0106dc30201a5680f9441b5c,evt_82825eae0106dc30,Daniel Theis,NBA,20.39,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118818,estk_82825eae0106dc30575ca725abf50fd3,evt_82825eae0106dc30,Alec Burks,NBA,18.75,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118821,estk_82825eae0106dc3092bc30f31e413420,evt_82825eae0106dc30,Matisse Thybulle,NBA,18.44,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118828,estk_82825eae0106dc30bc37c5910679509b,evt_82825eae0106dc30,Seth Curry,NBA,17.9,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118832,estk_82825eae0106dc30521208388656c595,evt_82825eae0106dc30,Trey Burke,NBA,17.04,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118835,estk_82825eae0106dc30b402a1af1291a618,evt_82825eae0106dc30,Patrick Beverley,NBA,16.87,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118839,estk_82825eae0106dc30a1e25447b314f889,evt_82825eae0106dc30,Shake Milton,NBA,16.43,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118843,estk_82825eae0106dc30f101f1906b677e1c,evt_82825eae0106dc30,JaMychal Green,NBA,15.07,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118847,estk_82825eae0106dc30233a24e71677893c,evt_82825eae0106dc30,Robert Williams,NBA,13.6,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118850,estk_82825eae0106dc30e9aea717e9a5e7f3,evt_82825eae0106dc30,Reggie Jackson,NBA,12.45,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118854,estk_82825eae0106dc3041d6aa90727d2144,evt_82825eae0106dc30,Brad Wanamaker,NBA,11.78,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118858,estk_82825eae0106dc308c88c133edc67225,evt_82825eae0106dc30,Grant Williams,NBA,10.63,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:00:31.118861,estk_82825eae0106dc302d6f8355da37442f,evt_82825eae0106dc30,Enes Kanter,NBA,9.51,,,,,,,
$50 NBA Daily 8/19,2020-08-19T14:05:29.126400,estk_82825eae0106dc30953b227a97f4290a,evt_82825eae0106dc30,Luka Doncic,NBA,53.77,,,,15.0300,1.1200,,
$50 NBA Daily 8/19,2020-08-19T14:05:29.126433,estk_82825eae0106dc307a763361bd2f9a08,evt_82825eae0106dc30,Joel Embiid,NBA,51.68,,,,14.0700,1.1000,,
$50 NBA Daily 8/19,2020-08-19T14:05:29.126439,estk_82825eae0106dc30bb115bd4f54ff319,evt_82825eae0106dc30,Kawhi Leonard,NBA,44.79,,,,11.2100,1.0800,,
$50 NBA Daily 8/19,2020-08-19T14:05:29.126443,estk_82825eae0106dc30a488da70359965f9,evt_82825eae0106dc30,Kristaps Porzingis,NBA,42.71,,,,10.5000,1.0800,,
$50 NBA Daily 8/19,2020-08-19T14:05:29.126449,estk_82825eae0106dc30f59563a6406f63f4,evt_82825eae0106dc30,Paul George,NBA,41.11,,,,9.8100,1.0600,,
$50 NBA Daily 8/19,2020-08-19T14:05:29.126453,estk_82825eae0106dc30da4bddbbc347c31f,evt_82825eae0106dc30,Jayson Tatum,NBA,37.4,,,,8.3900,1.0600,,
$50 NBA Daily 8/19,2020-08-19T14:05:29.126458,estk_82825eae0106dc30a9edb859d18234d0,evt_82825eae0106dc30,Kemba Walker,NBA,33.64,,,,7.1300,1.0500,,
$50 NBA Daily 8/19,2020-08-19T14:05:29.126461,estk_82825eae0106dc304b8c495d9fa8db90,evt_82825eae0106dc30,Jaylen Brown,NBA,32.52,,,,6.7500,1.0400,,
$50 NBA Daily 8/19,2020-08-19T14:05:29.126465,estk_82825eae0106dc3077c3d3d4d8ad15c5,evt_82825eae0106dc30,Tobias Harris,NBA,31.86,,,,6.5400,1.0400,,
$50 NBA Daily 8/19,2020-08-19T14:05:29.126469,estk_82825eae0106dc3063a58b55849249a4,evt_82825eae0106dc30,Al Horford,NBA,28.59,,,,5.6500,1.0300,,
$50 NBA Daily 8/19,2020-08-19T14:05:29.126472,estk_82825eae0106dc30049fe8ca7bf97ec4,evt_82825eae0106dc30,Marcus Smart,NBA,25.53,,,,4.9100,1.0300,,
$50 NBA Daily 8/19,2020-08-19T14:05:29.126476,estk_82825eae0106dc30b3147c681557a264,evt_82825eae0106dc30,Josh Richardson,NBA,25.16,,,,4.7200,1.0300,,
