name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$500 NBA Daily 8/17,2020-08-17T14:39:36.527197,estk_99b64ab9f697d4ba7a763361bd2f9a08,evt_99b64ab9f697d4ba,Joel Embiid,NBA,51.78,,,,,,,
$500 NBA Daily 8/17,2020-08-17T14:39:36.527227,estk_99b64ab9f697d4ba953b227a97f4290a,evt_99b64ab9f697d4ba,Luka Doncic,NBA,50.84,,,,,,,
$500 NBA Daily 8/17,2020-08-17T14:39:36.527232,estk_99b64ab9f697d4baa488da70359965f9,evt_99b64ab9f697d4ba,Kristaps Porzingis,NBA,42.73,,,,,,,
$500 NBA Daily 8/17,2020-08-17T14:39:36.527236,estk_99b64ab9f697d4babb115bd4f54ff319,evt_99b64ab9f697d4ba,Kawhi Leonard,NBA,42.29,,,,,,,
$500 NBA Daily 8/17,2020-08-17T14:39:36.527243,estk_99b64ab9f697d4baf59563a6406f63f4,evt_99b64ab9f697d4ba,Paul George,NBA,40.13,,,,,,,
$500 NBA Daily 8/17,2020-08-17T14:39:36.527246,estk_99b64ab9f697d4bada4bddbbc347c31f,evt_99b64ab9f697d4ba,Jayson Tatum,NBA,35.35,,,,,,,
$500 NBA Daily 8/17,2020-08-17T14:39:36.527250,estk_99b64ab9f697d4ba77c3d3d4d8ad15c5,evt_99b64ab9f697d4ba,Tobias Harris,NBA,31.88,,,,,,,
$500 NBA Daily 8/17,2020-08-17T14:39:36.527254,estk_99b64ab9f697d4ba4b8c495d9fa8db90,evt_99b64ab9f697d4ba,Jaylen Brown,NBA,29.04,,,,,,,
$500 NBA Daily 8/17,2020-08-17T14:39:36.527257,estk_99b64ab9f697d4baf7c5bbc448149f99,evt_99b64ab9f697d4ba,Gordon Hayward,NBA,28.9,,,,,,,
$500 NBA Daily 8/17,2020-08-17T14:39:36.527261,estk_99b64ab9f697d4baa9edb859d18234d0,evt_99b64ab9f697d4ba,Kemba Walker,NBA,27.97,,,,,,,
