name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$50 NBA Daily 8/11,2020-08-11T13:00:24.574412,estk_a2d988bbeba479fb12d0c14aa5dfd232,evt_a2d988bbeba479fb,Giannis Antetokounmpo,NBA,55.16,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574441,estk_a2d988bbeba479fbda4bddbbc347c31f,evt_a2d988bbeba479fb,Jayson Tatum,NBA,39.35,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574446,estk_a2d988bbeba479fbf2604b3c6ec43ff2,evt_a2d988bbeba479fb,Khris Middleton,NBA,35.74,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574450,estk_a2d988bbeba479fb10eefe2828c2cb3c,evt_a2d988bbeba479fb,Thomas Bryant,NBA,35.45,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574454,estk_a2d988bbeba479fb4b8c495d9fa8db90,evt_a2d988bbeba479fb,Jaylen Brown,NBA,33.08,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574458,estk_a2d988bbeba479fbf7c5bbc448149f99,evt_a2d988bbeba479fb,Gordon Hayward,NBA,32.41,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574462,estk_a2d988bbeba479fb8d1c1ad7764c997b,evt_a2d988bbeba479fb,Jonas Valanciunas,NBA,31.87,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574466,estk_a2d988bbeba479fba9edb859d18234d0,evt_a2d988bbeba479fb,Kemba Walker,NBA,31.69,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574470,estk_a2d988bbeba479fbd6171dfea381a48f,evt_a2d988bbeba479fb,Brandon Clarke,NBA,31.55,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574474,estk_a2d988bbeba479fb04749763bd15faac,evt_a2d988bbeba479fb,Eric Bledsoe,NBA,31.23,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574479,estk_a2d988bbeba479fb653a3e7bbfb46eb0,evt_a2d988bbeba479fb,Bogdan Bogdanovic,NBA,29.41,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574483,estk_a2d988bbeba479fb4e6934614546f665,evt_a2d988bbeba479fb,Ja Morant,NBA,28.79,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574487,estk_a2d988bbeba479fb806121a64c461e99,evt_a2d988bbeba479fb,Brook Lopez,NBA,28.73,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574491,estk_a2d988bbeba479fb13a6a7603aa51437,evt_a2d988bbeba479fb,Troy Brown,NBA,27.61,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574495,estk_a2d988bbeba479fb049fe8ca7bf97ec4,evt_a2d988bbeba479fb,Marcus Smart,NBA,26.51,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574499,estk_a2d988bbeba479fb55ca3ac70f0e0b62,evt_a2d988bbeba479fb,Lonzo Ball,NBA,26.09,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574503,estk_a2d988bbeba479fbacf9036f85b48468,evt_a2d988bbeba479fb,Ish Smith,NBA,25.43,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574507,estk_a2d988bbeba479fbaf7276ad9c2ac994,evt_a2d988bbeba479fb,Dillon Brooks,NBA,25.02,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574511,estk_a2d988bbeba479fb3691c43454c522a8,evt_a2d988bbeba479fb,Buddy Hield,NBA,24.72,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574514,estk_a2d988bbeba479fbb809d1c7049b670f,evt_a2d988bbeba479fb,Harrison Barnes,NBA,24.57,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574518,estk_a2d988bbeba479fbd70447b8832098dc,evt_a2d988bbeba479fb,Rui Hachimura,NBA,24.24,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574522,estk_a2d988bbeba479fbb4cad04e823623ff,evt_a2d988bbeba479fb,Derrick Favors,NBA,24.14,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574526,estk_a2d988bbeba479fb201a5680f9441b5c,evt_a2d988bbeba479fb,Daniel Theis,NBA,23.44,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574529,estk_a2d988bbeba479fb1b62dea0e6c0b803,evt_a2d988bbeba479fb,Nicolo Melli,NBA,22.12,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574533,estk_a2d988bbeba479fb83bebe309a436971,evt_a2d988bbeba479fb,Cory Joseph,NBA,21.43,,,,,,,
$50 NBA Daily 8/11,2020-08-11T13:00:24.574537,estk_a2d988bbeba479fb3298b0c055fa35dd,evt_a2d988bbeba479fb,JJ Redick,NBA,20.91,,,,,,,
