name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$50 NBA Daily 8/18,2020-08-18T14:00:30.831546,estk_b64dd47a8492df911452baccd9371298,evt_b64dd47a8492df91,LeBron James,NBA,53.8,,,,,,,
$50 NBA Daily 8/18,2020-08-18T14:00:30.831574,estk_b64dd47a8492df91998cf3066566c393,evt_b64dd47a8492df91,James Harden,NBA,53.04,,,,,,,
$50 NBA Daily 8/18,2020-08-18T14:00:30.831579,estk_b64dd47a8492df919af7d442f918404f,evt_b64dd47a8492df91,Anthony Davis,NBA,48.17,,,,,,,
$50 NBA Daily 8/18,2020-08-18T14:00:30.831583,estk_b64dd47a8492df9101113a8407ed38e2,evt_b64dd47a8492df91,Damian Lillard,NBA,45.26,,,,,,,
$50 NBA Daily 8/18,2020-08-18T14:00:30.831587,estk_b64dd47a8492df911a3043d6384c59cc,evt_b64dd47a8492df91,Jusuf Nurkic,NBA,43.39,,,,,,,
$50 NBA Daily 8/18,2020-08-18T14:00:30.831591,estk_b64dd47a8492df9186ea8af848cca3f6,evt_b64dd47a8492df91,Chris Paul,NBA,40.85,,,,,,,
$50 NBA Daily 8/18,2020-08-18T14:00:30.831595,estk_b64dd47a8492df914d546eba965e40a0,evt_b64dd47a8492df91,Steven Adams,NBA,33.86,,,,,,,
$50 NBA Daily 8/18,2020-08-18T14:00:30.831599,estk_b64dd47a8492df9133aee19dae855240,evt_b64dd47a8492df91,Shai Gilgeous-Alexander,NBA,31.57,,,,,,,
$50 NBA Daily 8/18,2020-08-18T14:00:30.831603,estk_b64dd47a8492df914641ef307a4855e5,evt_b64dd47a8492df91,CJ McCollum,NBA,31.1,,,,,,,
$50 NBA Daily 8/18,2020-08-18T14:00:30.831607,estk_b64dd47a8492df916e1b2c66fb087a89,evt_b64dd47a8492df91,Danilo Gallinari,NBA,28.03,,,,,,,
$50 NBA Daily 8/18,2020-08-18T14:00:30.831611,estk_b64dd47a8492df912e7d4bf632563918,evt_b64dd47a8492df91,Robert Covington,NBA,25.75,,,,,,,
$50 NBA Daily 8/18,2020-08-18T14:00:30.831615,estk_b64dd47a8492df91ce8e428feaa184fb,evt_b64dd47a8492df91,Dennis Schroder,NBA,25.46,,,,,,,
$50 NBA Daily 8/18,2020-08-18T14:00:30.831618,estk_b64dd47a8492df916a7e9a693923060b,evt_b64dd47a8492df91,Carmelo Anthony,NBA,24.52,,,,,,,
$50 NBA Daily 8/18,2020-08-18T14:00:30.831622,estk_b64dd47a8492df9131303064abb30322,evt_b64dd47a8492df91,Hassan Whiteside,NBA,24.14,,,,,,,
$50 NBA Daily 8/18,2020-08-18T14:00:30.831625,estk_b64dd47a8492df910b04a4c808a880c2,evt_b64dd47a8492df91,Gary Trent,NBA,20.47,,,,,,,
$50 NBA Daily 8/18,2020-08-18T14:00:30.831629,estk_b64dd47a8492df91ebfb1a44ae619e2e,evt_b64dd47a8492df91,Kyle Kuzma,NBA,20.3,,,,,,,
$50 NBA Daily 8/18,2020-08-18T14:00:30.831633,estk_b64dd47a8492df91f2b631af853210c3,evt_b64dd47a8492df91,Kentavious Caldwell-Pope,NBA,19.74,,,,,,,
$50 NBA Daily 8/18,2020-08-18T14:00:30.831636,estk_b64dd47a8492df91bb2265938b36951f,evt_b64dd47a8492df91,P.J. Tucker,NBA,19.39,,,,,,,
$50 NBA Daily 8/18,2020-08-18T14:00:30.831640,estk_b64dd47a8492df91c7f79998d02ebada,evt_b64dd47a8492df91,Danny Green,NBA,18.61,,,,,,,
