name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$50 NBA Daily 8/17,2020-08-17T14:39:36.679228,estk_bf9a2e4cc8dc29a87a763361bd2f9a08,evt_bf9a2e4cc8dc29a8,Joel Embiid,NBA,51.78,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679256,estk_bf9a2e4cc8dc29a8953b227a97f4290a,evt_bf9a2e4cc8dc29a8,Luka Doncic,NBA,50.84,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679261,estk_bf9a2e4cc8dc29a8a488da70359965f9,evt_bf9a2e4cc8dc29a8,Kristaps Porzingis,NBA,42.73,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679265,estk_bf9a2e4cc8dc29a8bb115bd4f54ff319,evt_bf9a2e4cc8dc29a8,Kawhi Leonard,NBA,42.29,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679269,estk_bf9a2e4cc8dc29a8f59563a6406f63f4,evt_bf9a2e4cc8dc29a8,Paul George,NBA,40.13,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679273,estk_bf9a2e4cc8dc29a8da4bddbbc347c31f,evt_bf9a2e4cc8dc29a8,Jayson Tatum,NBA,35.35,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679277,estk_bf9a2e4cc8dc29a877c3d3d4d8ad15c5,evt_bf9a2e4cc8dc29a8,Tobias Harris,NBA,31.88,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679280,estk_bf9a2e4cc8dc29a84b8c495d9fa8db90,evt_bf9a2e4cc8dc29a8,Jaylen Brown,NBA,29.04,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679284,estk_bf9a2e4cc8dc29a8f7c5bbc448149f99,evt_bf9a2e4cc8dc29a8,Gordon Hayward,NBA,28.9,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679288,estk_bf9a2e4cc8dc29a8a9edb859d18234d0,evt_bf9a2e4cc8dc29a8,Kemba Walker,NBA,27.97,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679291,estk_bf9a2e4cc8dc29a863a58b55849249a4,evt_bf9a2e4cc8dc29a8,Al Horford,NBA,27.79,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679297,estk_bf9a2e4cc8dc29a86d025fb040fb2e88,evt_bf9a2e4cc8dc29a8,Dorian Finney-Smith,NBA,24.7,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679301,estk_bf9a2e4cc8dc29a8b3147c681557a264,evt_bf9a2e4cc8dc29a8,Josh Richardson,NBA,23.84,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679305,estk_bf9a2e4cc8dc29a8af1a06f413850d3c,evt_bf9a2e4cc8dc29a8,Montrezl Harrell,NBA,22.9,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679308,estk_bf9a2e4cc8dc29a88bf6dd5c69dbd6c9,evt_bf9a2e4cc8dc29a8,Tim Hardaway,NBA,21.55,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679312,estk_bf9a2e4cc8dc29a8049fe8ca7bf97ec4,evt_bf9a2e4cc8dc29a8,Marcus Smart,NBA,21.49,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679316,estk_bf9a2e4cc8dc29a857693decb131a860,evt_bf9a2e4cc8dc29a8,Lou Williams,NBA,20.78,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679319,estk_bf9a2e4cc8dc29a8201a5680f9441b5c,evt_bf9a2e4cc8dc29a8,Daniel Theis,NBA,19.63,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679323,estk_bf9a2e4cc8dc29a86e82fa5f30bdfa80,evt_bf9a2e4cc8dc29a8,Marcus Morris,NBA,19.14,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679326,estk_bf9a2e4cc8dc29a885e7a39b281a7530,evt_bf9a2e4cc8dc29a8,Ivica Zubac,NBA,17.96,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679330,estk_bf9a2e4cc8dc29a8521208388656c595,evt_bf9a2e4cc8dc29a8,Trey Burke,NBA,17.27,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679333,estk_bf9a2e4cc8dc29a8b402a1af1291a618,evt_bf9a2e4cc8dc29a8,Patrick Beverley,NBA,16.84,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679336,estk_bf9a2e4cc8dc29a8dffaf5f9be93f5bc,evt_bf9a2e4cc8dc29a8,Maxi Kleber,NBA,16.84,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679340,estk_bf9a2e4cc8dc29a8a1e25447b314f889,evt_bf9a2e4cc8dc29a8,Shake Milton,NBA,16.44,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679343,estk_bf9a2e4cc8dc29a8f101f1906b677e1c,evt_bf9a2e4cc8dc29a8,JaMychal Green,NBA,15.14,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679346,estk_bf9a2e4cc8dc29a8bc37c5910679509b,evt_bf9a2e4cc8dc29a8,Seth Curry,NBA,15,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679350,estk_bf9a2e4cc8dc29a8575ca725abf50fd3,evt_bf9a2e4cc8dc29a8,Alec Burks,NBA,14.24,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679354,estk_bf9a2e4cc8dc29a8bea985900c08dd79,evt_bf9a2e4cc8dc29a8,Delon Wright,NBA,13.79,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679357,estk_bf9a2e4cc8dc29a8233a24e71677893c,evt_bf9a2e4cc8dc29a8,Robert Williams,NBA,13.77,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679360,estk_bf9a2e4cc8dc29a892bc30f31e413420,evt_bf9a2e4cc8dc29a8,Matisse Thybulle,NBA,13.14,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679364,estk_bf9a2e4cc8dc29a8e9aea717e9a5e7f3,evt_bf9a2e4cc8dc29a8,Reggie Jackson,NBA,12.53,,,,,,,
$50 NBA Daily 8/17,2020-08-17T14:39:36.679368,estk_bf9a2e4cc8dc29a8f7a31aec0adc59e2,evt_bf9a2e4cc8dc29a8,Landry Shamet,NBA,11.87,,,,,,,
