name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$500 NBA Daily 8/18,2020-08-18T14:00:30.967599,estk_ca135834b3afa8ae1452baccd9371298,evt_ca135834b3afa8ae,LeBron James,NBA,53.8,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967627,estk_ca135834b3afa8ae998cf3066566c393,evt_ca135834b3afa8ae,James Harden,NBA,53.04,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967633,estk_ca135834b3afa8ae9af7d442f918404f,evt_ca135834b3afa8ae,Anthony Davis,NBA,48.17,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967637,estk_ca135834b3afa8ae01113a8407ed38e2,evt_ca135834b3afa8ae,Damian Lillard,NBA,45.26,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967641,estk_ca135834b3afa8ae1a3043d6384c59cc,evt_ca135834b3afa8ae,Jusuf Nurkic,NBA,43.39,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967645,estk_ca135834b3afa8ae86ea8af848cca3f6,evt_ca135834b3afa8ae,Chris Paul,NBA,40.85,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967648,estk_ca135834b3afa8ae4d546eba965e40a0,evt_ca135834b3afa8ae,Steven Adams,NBA,33.86,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967653,estk_ca135834b3afa8ae33aee19dae855240,evt_ca135834b3afa8ae,Shai Gilgeous-Alexander,NBA,31.57,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967657,estk_ca135834b3afa8ae4641ef307a4855e5,evt_ca135834b3afa8ae,CJ McCollum,NBA,31.1,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967660,estk_ca135834b3afa8ae6e1b2c66fb087a89,evt_ca135834b3afa8ae,Danilo Gallinari,NBA,28.03,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967664,estk_ca135834b3afa8ae2e7d4bf632563918,evt_ca135834b3afa8ae,Robert Covington,NBA,25.75,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967669,estk_ca135834b3afa8aece8e428feaa184fb,evt_ca135834b3afa8ae,Dennis Schroder,NBA,25.46,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967672,estk_ca135834b3afa8ae6a7e9a693923060b,evt_ca135834b3afa8ae,Carmelo Anthony,NBA,24.52,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967676,estk_ca135834b3afa8ae31303064abb30322,evt_ca135834b3afa8ae,Hassan Whiteside,NBA,24.14,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967680,estk_ca135834b3afa8ae0b04a4c808a880c2,evt_ca135834b3afa8ae,Gary Trent,NBA,20.47,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967683,estk_ca135834b3afa8aeebfb1a44ae619e2e,evt_ca135834b3afa8ae,Kyle Kuzma,NBA,20.3,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967687,estk_ca135834b3afa8aef2b631af853210c3,evt_ca135834b3afa8ae,Kentavious Caldwell-Pope,NBA,19.74,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967691,estk_ca135834b3afa8aebb2265938b36951f,evt_ca135834b3afa8ae,P.J. Tucker,NBA,19.39,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967694,estk_ca135834b3afa8aec7f79998d02ebada,evt_ca135834b3afa8ae,Danny Green,NBA,18.61,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967698,estk_ca135834b3afa8ae7e274b6cb95b0d20,evt_ca135834b3afa8ae,Danuel House,NBA,18.5,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967701,estk_ca135834b3afa8aec3a200d16d9a3fa2,evt_ca135834b3afa8ae,JaVale McGee,NBA,18.4,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967705,estk_ca135834b3afa8ae0b5bea604e9b515d,evt_ca135834b3afa8ae,Nerlens Noel,NBA,18.33,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967709,estk_ca135834b3afa8ae9e314ab9e97d6d4e,evt_ca135834b3afa8ae,Eric Gordon,NBA,17.04,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967712,estk_ca135834b3afa8aed086e77c2f7fd9b3,evt_ca135834b3afa8ae,Hamidou Diallo,NBA,16.34,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967716,estk_ca135834b3afa8aecc5df41068f20fef,evt_ca135834b3afa8ae,Alex Caruso,NBA,16.12,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967719,estk_ca135834b3afa8ae835e4cb9b4f65e3b,evt_ca135834b3afa8ae,Jeff Green,NBA,15.46,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967723,estk_ca135834b3afa8aed5d16483f5148c0b,evt_ca135834b3afa8ae,Darius Bazley,NBA,15.11,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967726,estk_ca135834b3afa8aea8ff2d0160121c76,evt_ca135834b3afa8ae,Dwight Howard,NBA,14.35,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967730,estk_ca135834b3afa8ae81cf003a81460da1,evt_ca135834b3afa8ae,Markieff Morris,NBA,11.53,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967733,estk_ca135834b3afa8ae19f5682bdf2d2680,evt_ca135834b3afa8ae,DeMarre Carroll,NBA,10.13,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967736,estk_ca135834b3afa8ae509298b2fe7937b1,evt_ca135834b3afa8ae,Dion Waiters,NBA,9.83,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:00:30.967740,estk_ca135834b3afa8ae8030cd645d385adc,evt_ca135834b3afa8ae,Wenyen Gabriel,NBA,9.36,,,,,,,
$500 NBA Daily 8/18,2020-08-18T14:04:38.521687,estk_ca135834b3afa8ae1452baccd9371298,evt_ca135834b3afa8ae,LeBron James,NBA,53.8,,,,12.8500,1.0900,,
$500 NBA Daily 8/18,2020-08-18T14:04:38.521708,estk_ca135834b3afa8ae998cf3066566c393,evt_ca135834b3afa8ae,James Harden,NBA,53.04,,,,12.7100,1.0900,,
$500 NBA Daily 8/18,2020-08-18T14:04:38.521713,estk_ca135834b3afa8ae9af7d442f918404f,evt_ca135834b3afa8ae,Anthony Davis,NBA,48.17,,,,11.0600,1.0500,,
$500 NBA Daily 8/18,2020-08-18T14:04:38.521718,estk_ca135834b3afa8ae01113a8407ed38e2,evt_ca135834b3afa8ae,Damian Lillard,NBA,45.26,,,,10.2200,1.0700,,
$500 NBA Daily 8/18,2020-08-18T14:04:38.521722,estk_ca135834b3afa8ae1a3043d6384c59cc,evt_ca135834b3afa8ae,Jusuf Nurkic,NBA,43.39,,,,9.5000,1.0600,,
$500 NBA Daily 8/18,2020-08-18T14:04:38.521726,estk_ca135834b3afa8ae86ea8af848cca3f6,evt_ca135834b3afa8ae,Chris Paul,NBA,40.85,,,,8.7900,1.0600,,
$500 NBA Daily 8/18,2020-08-18T14:04:38.521730,estk_ca135834b3afa8ae4d546eba965e40a0,evt_ca135834b3afa8ae,Steven Adams,NBA,33.86,,,,6.9400,1.0400,,
$500 NBA Daily 8/18,2020-08-18T14:04:38.521734,estk_ca135834b3afa8ae33aee19dae855240,evt_ca135834b3afa8ae,Shai Gilgeous-Alexander,NBA,31.57,,,,6.3700,1.0300,,
$500 NBA Daily 8/18,2020-08-18T14:04:38.521738,estk_ca135834b3afa8ae4641ef307a4855e5,evt_ca135834b3afa8ae,CJ McCollum,NBA,31.1,,,,6.1600,1.0400,,
$500 NBA Daily 8/18,2020-08-18T14:04:38.521742,estk_ca135834b3afa8ae6e1b2c66fb087a89,evt_ca135834b3afa8ae,Danilo Gallinari,NBA,28.03,,,,5.5700,1.0300,,
$500 NBA Daily 8/18,2020-08-18T14:04:38.521745,estk_ca135834b3afa8aece8e428feaa184fb,evt_ca135834b3afa8ae,Dennis Schroder,NBA,25.46,,,,5.0000,1.0300,,
$500 NBA Daily 8/18,2020-08-18T14:04:38.521752,estk_ca135834b3afa8ae2e7d4bf632563918,evt_ca135834b3afa8ae,Robert Covington,NBA,25.75,,,,4.9900,1.0300,,
$500 NBA Daily 8/18,2020-08-18T14:04:38.521755,estk_ca135834b3afa8ae6a7e9a693923060b,evt_ca135834b3afa8ae,Carmelo Anthony,NBA,24.52,,,,4.7600,1.0200,,
$500 NBA Daily 8/18,2020-08-18T14:04:38.521759,estk_ca135834b3afa8ae31303064abb30322,evt_ca135834b3afa8ae,Hassan Whiteside,NBA,24.14,,,,4.7100,1.0200,,
$500 NBA Daily 8/18,2020-08-18T14:04:38.521763,estk_ca135834b3afa8aeebfb1a44ae619e2e,evt_ca135834b3afa8ae,Kyle Kuzma,NBA,20.3,,,,4.1000,1.0200,,
$500 NBA Daily 8/18,2020-08-18T14:04:38.521767,estk_ca135834b3afa8ae0b04a4c808a880c2,evt_ca135834b3afa8ae,Gary Trent,NBA,20.47,,,,4.0800,1.0200,,
$500 NBA Daily 8/18,2020-08-18T14:04:38.521770,estk_ca135834b3afa8aef2b631af853210c3,evt_ca135834b3afa8ae,Kentavious Caldwell-Pope,NBA,19.74,,,,3.9100,1.0100,,
$500 NBA Daily 8/18,2020-08-18T14:04:38.521774,estk_ca135834b3afa8aebb2265938b36951f,evt_ca135834b3afa8ae,P.J. Tucker,NBA,19.39,,,,3.9100,1.0200,,
$500 NBA Daily 8/18,2020-08-18T14:04:38.521778,estk_ca135834b3afa8aec7f79998d02ebada,evt_ca135834b3afa8ae,Danny Green,NBA,18.61,,,,3.7900,1.0100,,
$500 NBA Daily 8/18,2020-08-18T14:04:38.521781,estk_ca135834b3afa8ae7e274b6cb95b0d20,evt_ca135834b3afa8ae,Danuel House,NBA,18.5,,,,3.7800,1.0100,,
