name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$250 Northern Trust,2020-08-18T16:04:41.457775,estk_ca17ff6a4752ffdbf659aa7b5b2176ee,evt_ca17ff6a4752ffdb,Collin Morikawa,PGA,78.58,,,,10.4700,1.0200,,
$250 Northern Trust,2020-08-18T16:04:41.457805,estk_ca17ff6a4752ffdb077d445dd9eef8da,evt_ca17ff6a4752ffdb,Patrick Cantlay,PGA,77.93,,,,10.1200,,,
$250 Northern Trust,2020-08-18T16:04:41.457811,estk_ca17ff6a4752ffdb503f60443b3bd112,evt_ca17ff6a4752ffdb,Webb Simpson,PGA,76.61,,,,9.3900,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457816,estk_ca17ff6a4752ffdbf40801c5943c8d94,evt_ca17ff6a4752ffdb,Jon Rahm,PGA,75.84,,,,8.9400,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457820,estk_ca17ff6a4752ffdb03fcb99bd098267b,evt_ca17ff6a4752ffdb,Patrick Reed,PGA,75.5,,,,8.7300,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457824,estk_ca17ff6a4752ffdb385c664e153f199a,evt_ca17ff6a4752ffdb,Rory McIlroy,PGA,74.87,,,,8.4200,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457828,estk_ca17ff6a4752ffdbe0b5b2fc83a00c65,evt_ca17ff6a4752ffdb,Gary Woodland,PGA,74.87,,,,8.4000,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457832,estk_ca17ff6a4752ffdbd11048af6a9aa9e4,evt_ca17ff6a4752ffdb,Bryson DeChambeau,PGA,74.79,,,,8.3100,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457836,estk_ca17ff6a4752ffdb6e48ec89ea29f9f8,evt_ca17ff6a4752ffdb,Justin Thomas,PGA,74.23,,,,8.0300,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457840,estk_ca17ff6a4752ffdb8eb46850755a695e,evt_ca17ff6a4752ffdb,Xander Schauffele,PGA,73.96,,,,7.9500,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457844,estk_ca17ff6a4752ffdb30ccd165c4aa611d,evt_ca17ff6a4752ffdb,Brooks Koepka,PGA,73.69,,,,7.8200,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457848,estk_ca17ff6a4752ffdbecdd9ee6a8267442,evt_ca17ff6a4752ffdb,Abraham Ancer,PGA,72.44,,,,7.2100,,,
$250 Northern Trust,2020-08-18T16:04:41.457852,estk_ca17ff6a4752ffdb514f8f232f286c88,evt_ca17ff6a4752ffdb,Tiger Woods,PGA,72.43,,,,7.1600,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457856,estk_ca17ff6a4752ffdbdb5881f101cec470,evt_ca17ff6a4752ffdb,Justin Rose,PGA,72.15,,,,7.0600,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457859,estk_ca17ff6a4752ffdbc2291b803160b17e,evt_ca17ff6a4752ffdb,Daniel Berger,PGA,71.55,,,,6.7900,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457863,estk_ca17ff6a4752ffdbd84407620d2d9cf0,evt_ca17ff6a4752ffdb,Tony Finau,PGA,71.23,,,,6.6300,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457867,estk_ca17ff6a4752ffdbfe200133ec8a6c41,evt_ca17ff6a4752ffdb,Tyrrell Hatton,PGA,71.22,,,,6.6200,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457871,estk_ca17ff6a4752ffdb6db374755563ce83,evt_ca17ff6a4752ffdb,Bubba Watson,PGA,70.83,,,,6.4300,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457875,estk_ca17ff6a4752ffdb33ae0bbc78db2949,evt_ca17ff6a4752ffdb,Dustin Johnson,PGA,70.22,,,,6.1800,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457879,estk_ca17ff6a4752ffdb3116b24358a8f507,evt_ca17ff6a4752ffdb,Louis Oosthuizen,PGA,69.85,,,,6.0100,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457882,estk_ca17ff6a4752ffdb527c5abfc1093b26,evt_ca17ff6a4752ffdb,Hideki Matsuyama,PGA,69.53,,,,5.8800,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457886,estk_ca17ff6a4752ffdb9cb9fc3fe55be3c0,evt_ca17ff6a4752ffdb,Adam Scott,PGA,69.44,,,,5.8400,,,
$250 Northern Trust,2020-08-18T16:04:41.457890,estk_ca17ff6a4752ffdba8b79a109f7cf8a2,evt_ca17ff6a4752ffdb,Byeong Hun An,PGA,68.97,,,,5.6600,1.0000,,
$250 Northern Trust,2020-08-18T16:04:41.457893,estk_ca17ff6a4752ffdb2203f644cb3905c3,evt_ca17ff6a4752ffdb,Jason Day,PGA,68.71,,,,5.5700,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457897,estk_ca17ff6a4752ffdbdc1e23aa4cb30164,evt_ca17ff6a4752ffdb,Marc Leishman,PGA,68.7,,,,5.5400,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457900,estk_ca17ff6a4752ffdb275b00a4c6134775,evt_ca17ff6a4752ffdb,Rickie Fowler,PGA,68.49,,,,5.4600,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457904,estk_ca17ff6a4752ffdba251d6b9cc0a07e5,evt_ca17ff6a4752ffdb,Sungjae Im,PGA,68.48,,,,5.4500,1.0100,,
$250 Northern Trust,2020-08-18T16:04:41.457908,estk_ca17ff6a4752ffdbbf5c4810745af2e6,evt_ca17ff6a4752ffdb,Matthew Fitzpatrick,PGA,68.43,,,,5.4500,1.0000,,
