name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$150 NBA Daily 8/7,2020-08-07T10:36:13.522876,estk_ee6d6eebbcb927ca7a763361bd2f9a08,evt_ee6d6eebbcb927ca,Joel Embiid,NBA,46.09,,,,10.7500,8.7300,,
$150 NBA Daily 8/7,2020-08-07T10:36:13.522876,estk_ee6d6eebbcb927ca92a366f55dc75d93,evt_ee6d6eebbcb927ca,Jrue Holiday,NBA,38.96,,,,8.1700,6.6100,,
$150 NBA Daily 8/7,2020-08-07T10:36:13.522876,estk_ee6d6eebbcb927ca10eefe2828c2cb3c,evt_ee6d6eebbcb927ca,Thomas Bryant,NBA,38.11,,,,7.9900,6.3600,,
$150 NBA Daily 8/7,2020-08-07T10:36:13.522876,estk_ee6d6eebbcb927caf6c7d554d2fa9f75,evt_ee6d6eebbcb927ca,Nikola Vucevic,NBA,37.67,,,,7.7900,6.2500,,
$150 NBA Daily 8/7,2020-08-07T10:36:13.522876,estk_ee6d6eebbcb927cada4bddbbc347c31f,evt_ee6d6eebbcb927ca,Jayson Tatum,NBA,36.54,,,,7.4200,5.9600,,
$150 NBA Daily 8/7,2020-08-07T10:36:13.522876,estk_ee6d6eebbcb927cafcc6299cf30b55e3,evt_ee6d6eebbcb927ca,Ben Simmons,NBA,35.58,,,,7.1200,5.7200,,
$150 NBA Daily 8/7,2020-08-07T10:36:13.522876,estk_ee6d6eebbcb927ca7c131e7cfd4ca8ad,evt_ee6d6eebbcb927ca,Pascal Siakam,NBA,35.43,,,,7.0900,5.6900,,
$150 NBA Daily 8/7,2020-08-07T10:36:13.522876,estk_ee6d6eebbcb927ca50924ad9a2f1f059,evt_ee6d6eebbcb927ca,Brandon Ingram,NBA,33.96,,,,6.6100,5.3600,,
$150 NBA Daily 8/7,2020-08-07T10:36:13.522876,estk_ee6d6eebbcb927ca9f778e9b41f860a6,evt_ee6d6eebbcb927ca,Zion Williamson,NBA,33.85,,,,6.6100,5.3200,,
$150 NBA Daily 8/7,2020-08-07T10:36:13.522876,estk_ee6d6eebbcb927cacd439276c8d11f5d,evt_ee6d6eebbcb927ca,Fred VanVleet,NBA,32.43,,,,6.2500,5.0200,,
