name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$2K Northern Trust,2020-08-18T16:04:41.259005,estk_f44a29e40ad18658f659aa7b5b2176ee,evt_f44a29e40ad18658,Collin Morikawa,PGA,78.58,,,,10.6900,1.0100,,
$2K Northern Trust,2020-08-18T16:04:41.259035,estk_f44a29e40ad18658077d445dd9eef8da,evt_f44a29e40ad18658,Patrick Cantlay,PGA,77.93,,,,10.2600,1.0200,,
$2K Northern Trust,2020-08-18T16:04:41.259040,estk_f44a29e40ad18658503f60443b3bd112,evt_f44a29e40ad18658,Webb Simpson,PGA,76.61,,,,9.5800,1.0100,,
$2K Northern Trust,2020-08-18T16:04:41.259045,estk_f44a29e40ad18658f40801c5943c8d94,evt_f44a29e40ad18658,Jon Rahm,PGA,75.84,,,,9.0900,1.0100,,
$2K Northern Trust,2020-08-18T16:04:41.259049,estk_f44a29e40ad1865803fcb99bd098267b,evt_f44a29e40ad18658,Patrick Reed,PGA,75.5,,,,8.9300,1.0100,,
$2K Northern Trust,2020-08-18T16:04:41.259054,estk_f44a29e40ad18658385c664e153f199a,evt_f44a29e40ad18658,Rory McIlroy,PGA,74.87,,,,8.5400,1.0100,,
$2K Northern Trust,2020-08-18T16:04:41.259058,estk_f44a29e40ad18658e0b5b2fc83a00c65,evt_f44a29e40ad18658,Gary Woodland,PGA,74.87,,,,8.5400,1.0100,,
$2K Northern Trust,2020-08-18T16:04:41.259061,estk_f44a29e40ad18658d11048af6a9aa9e4,evt_f44a29e40ad18658,Bryson DeChambeau,PGA,74.79,,,,8.4800,1.0100,,
$2K Northern Trust,2020-08-18T16:04:41.259065,estk_f44a29e40ad186586e48ec89ea29f9f8,evt_f44a29e40ad18658,Justin Thomas,PGA,74.23,,,,8.2300,,,
$2K Northern Trust,2020-08-18T16:04:41.259069,estk_f44a29e40ad186588eb46850755a695e,evt_f44a29e40ad18658,Xander Schauffele,PGA,73.96,,,,8.0400,1.0100,,
