name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
Northern Trust Test Market,2020-08-20T09:06:22.623115,estk_f56bbcdde611f2b6f659aa7b5b2176ee,evt_f56bbcdde611f2b6,Collin Morikawa,PGA,78.58,,,,9.8500,1.4500,,
Northern Trust Test Market,2020-08-20T09:06:22.623145,estk_f56bbcdde611f2b6077d445dd9eef8da,evt_f56bbcdde611f2b6,Patrick Cantlay,PGA,77.93,,,,9.5000,1.4400,,
Northern Trust Test Market,2020-08-20T09:06:22.623150,estk_f56bbcdde611f2b6503f60443b3bd112,evt_f56bbcdde611f2b6,Webb Simpson,PGA,76.61,,,,8.8200,1.4100,,
Northern Trust Test Market,2020-08-20T09:06:22.623154,estk_f56bbcdde611f2b6f40801c5943c8d94,evt_f56bbcdde611f2b6,Jon Rahm,PGA,75.84,,,,8.4000,1.3900,,
Northern Trust Test Market,2020-08-20T09:06:22.623158,estk_f56bbcdde611f2b603fcb99bd098267b,evt_f56bbcdde611f2b6,Patrick Reed,PGA,75.5,,,,8.1600,1.3700,,
Northern Trust Test Market,2020-08-20T09:06:22.623163,estk_f56bbcdde611f2b6e0b5b2fc83a00c65,evt_f56bbcdde611f2b6,Gary Woodland,PGA,74.87,,,,7.8400,1.3400,,
Northern Trust Test Market,2020-08-20T09:06:22.623167,estk_f56bbcdde611f2b6385c664e153f199a,evt_f56bbcdde611f2b6,Rory McIlroy,PGA,74.87,,,,7.8400,1.3400,,
Northern Trust Test Market,2020-08-20T09:06:22.623171,estk_f56bbcdde611f2b6d11048af6a9aa9e4,evt_f56bbcdde611f2b6,Bryson DeChambeau,PGA,74.79,,,,7.7300,1.3500,,
Northern Trust Test Market,2020-08-20T09:06:22.623175,estk_f56bbcdde611f2b66e48ec89ea29f9f8,evt_f56bbcdde611f2b6,Justin Thomas,PGA,74.23,,,,7.5400,1.3400,,
Northern Trust Test Market,2020-08-20T09:06:22.623178,estk_f56bbcdde611f2b68eb46850755a695e,evt_f56bbcdde611f2b6,Xander Schauffele,PGA,73.96,,,,7.4200,1.3300,,
Northern Trust Test Market,2020-08-20T09:06:22.623182,estk_f56bbcdde611f2b6514f8f232f286c88,evt_f56bbcdde611f2b6,Tiger Woods,PGA,72.43,,,,6.6100,1.2900,,
