name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$50 NBA Daily 8/20,2020-08-20T14:00:21.707978,estk_f5eb165987fe03111452baccd9371298,evt_f5eb165987fe0311,LeBron James,NBA,58.15,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708011,estk_f5eb165987fe031112d0c14aa5dfd232,evt_f5eb165987fe0311,Giannis Antetokounmpo,NBA,54.49,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708018,estk_f5eb165987fe03119af7d442f918404f,evt_f5eb165987fe0311,Anthony Davis,NBA,50.69,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708022,estk_f5eb165987fe031101113a8407ed38e2,evt_f5eb165987fe0311,Damian Lillard,NBA,47.4,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708026,estk_f5eb165987fe0311f6c7d554d2fa9f75,evt_f5eb165987fe0311,Nikola Vucevic,NBA,42.62,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708030,estk_f5eb165987fe03111a3043d6384c59cc,evt_f5eb165987fe0311,Jusuf Nurkic,NBA,37.69,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708034,estk_f5eb165987fe03114641ef307a4855e5,evt_f5eb165987fe0311,CJ McCollum,NBA,33.32,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708038,estk_f5eb165987fe0311f2604b3c6ec43ff2,evt_f5eb165987fe0311,Khris Middleton,NBA,32.67,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708042,estk_f5eb165987fe031131303064abb30322,evt_f5eb165987fe0311,Hassan Whiteside,NBA,29.78,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708046,estk_f5eb165987fe031155086ea38656fe99,evt_f5eb165987fe0311,Aaron Gordon,NBA,27.68,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708050,estk_f5eb165987fe031158d79b9f2662f624,evt_f5eb165987fe0311,Evan Fournier,NBA,25.75,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708054,estk_f5eb165987fe031104749763bd15faac,evt_f5eb165987fe0311,Eric Bledsoe,NBA,25.55,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708058,estk_f5eb165987fe03116a7e9a693923060b,evt_f5eb165987fe0311,Carmelo Anthony,NBA,25.43,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708062,estk_f5eb165987fe0311ebfb1a44ae619e2e,evt_f5eb165987fe0311,Kyle Kuzma,NBA,25.15,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708066,estk_f5eb165987fe0311806121a64c461e99,evt_f5eb165987fe0311,Brook Lopez,NBA,24.32,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708070,estk_f5eb165987fe0311f95aa87cc77383be,evt_f5eb165987fe0311,Markelle Fultz,NBA,23.15,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708074,estk_f5eb165987fe0311663b3162753394ed,evt_f5eb165987fe0311,Terrence Ross,NBA,20.02,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708078,estk_f5eb165987fe0311828daf68b6f4025d,evt_f5eb165987fe0311,George Hill,NBA,19.66,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708082,estk_f5eb165987fe0311f2b631af853210c3,evt_f5eb165987fe0311,Kentavious Caldwell-Pope,NBA,18.14,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708086,estk_f5eb165987fe03117d8f05cf2dd6dbea,evt_f5eb165987fe0311,D.J. Augustin,NBA,17.97,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708089,estk_f5eb165987fe0311a8ff2d0160121c76,evt_f5eb165987fe0311,Dwight Howard,NBA,17.62,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708094,estk_f5eb165987fe03110b04a4c808a880c2,evt_f5eb165987fe0311,Gary Trent,NBA,17.16,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708097,estk_f5eb165987fe03119076cef21a11902c,evt_f5eb165987fe0311,Donte DiVincenzo,NBA,15.85,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708101,estk_f5eb165987fe0311c7f79998d02ebada,evt_f5eb165987fe0311,Danny Green,NBA,15.8,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708106,estk_f5eb165987fe0311b349a48e189ba3d0,evt_f5eb165987fe0311,Pat Connaughton,NBA,15.68,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708109,estk_f5eb165987fe0311f16014e0a040fe5b,evt_f5eb165987fe0311,Wesley Matthews,NBA,14.75,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708114,estk_f5eb165987fe0311cc5df41068f20fef,evt_f5eb165987fe0311,Alex Caruso,NBA,14.2,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708117,estk_f5eb165987fe0311c3a200d16d9a3fa2,evt_f5eb165987fe0311,JaVale McGee,NBA,13.82,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708121,estk_f5eb165987fe03115684a141296027b3,evt_f5eb165987fe0311,James Ennis,NBA,13.67,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708125,estk_f5eb165987fe031134e281c85e12c538,evt_f5eb165987fe0311,Khem Birch,NBA,13.28,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708129,estk_f5eb165987fe031181cf003a81460da1,evt_f5eb165987fe0311,Markieff Morris,NBA,13.14,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:00:21.708133,estk_f5eb165987fe031111c18bea3e4a147b,evt_f5eb165987fe0311,Rajon Rondo,NBA,13.06,,,,,,,
$50 NBA Daily 8/20,2020-08-20T14:06:54.423702,estk_f5eb165987fe03111452baccd9371298,evt_f5eb165987fe0311,LeBron James,NBA,58.15,,,,16.9000,1.0900,,
$50 NBA Daily 8/20,2020-08-20T14:06:54.423731,estk_f5eb165987fe031112d0c14aa5dfd232,evt_f5eb165987fe0311,Giannis Antetokounmpo,NBA,54.49,,,,15.2600,1.1100,,
$50 NBA Daily 8/20,2020-08-20T14:06:54.423736,estk_f5eb165987fe03119af7d442f918404f,evt_f5eb165987fe0311,Anthony Davis,NBA,50.69,,,,13.6000,1.1000,,
$50 NBA Daily 8/20,2020-08-20T14:06:54.423740,estk_f5eb165987fe031101113a8407ed38e2,evt_f5eb165987fe0311,Damian Lillard,NBA,47.4,,,,12.2800,1.0900,,
$50 NBA Daily 8/20,2020-08-20T14:06:54.423744,estk_f5eb165987fe0311f6c7d554d2fa9f75,evt_f5eb165987fe0311,Nikola Vucevic,NBA,42.62,,,,10.2000,1.0800,,
$50 NBA Daily 8/20,2020-08-20T14:06:54.423748,estk_f5eb165987fe03111a3043d6384c59cc,evt_f5eb165987fe0311,Jusuf Nurkic,NBA,37.69,,,,8.3900,1.0700,,
$50 NBA Daily 8/20,2020-08-20T14:06:54.423752,estk_f5eb165987fe03114641ef307a4855e5,evt_f5eb165987fe0311,CJ McCollum,NBA,33.32,,,,6.8200,1.0600,,
$50 NBA Daily 8/20,2020-08-20T14:06:54.423756,estk_f5eb165987fe0311f2604b3c6ec43ff2,evt_f5eb165987fe0311,Khris Middleton,NBA,32.67,,,,6.6100,1.0400,,
$50 NBA Daily 8/20,2020-08-20T14:06:54.423760,estk_f5eb165987fe031131303064abb30322,evt_f5eb165987fe0311,Hassan Whiteside,NBA,29.78,,,,5.7200,1.0400,,
$50 NBA Daily 8/20,2020-08-20T14:06:54.423764,estk_f5eb165987fe031155086ea38656fe99,evt_f5eb165987fe0311,Aaron Gordon,NBA,27.68,,,,5.1700,1.0300,,
$50 NBA Daily 8/20,2020-08-20T14:06:54.423767,estk_f5eb165987fe031158d79b9f2662f624,evt_f5eb165987fe0311,Evan Fournier,NBA,25.75,,,,4.6300,1.0400,,
$50 NBA Daily 8/20,2020-08-20T14:06:54.423774,estk_f5eb165987fe031104749763bd15faac,evt_f5eb165987fe0311,Eric Bledsoe,NBA,25.55,,,,4.5900,1.0300,,
$50 NBA Daily 8/20,2020-08-20T14:06:54.423777,estk_f5eb165987fe03116a7e9a693923060b,evt_f5eb165987fe0311,Carmelo Anthony,NBA,25.43,,,,4.5500,1.0300,,
$50 NBA Daily 8/20,2020-08-20T14:06:54.423781,estk_f5eb165987fe0311ebfb1a44ae619e2e,evt_f5eb165987fe0311,Kyle Kuzma,NBA,25.15,,,,4.5300,1.0300,,
$50 NBA Daily 8/20,2020-08-20T14:06:54.423785,estk_f5eb165987fe0311806121a64c461e99,evt_f5eb165987fe0311,Brook Lopez,NBA,24.32,,,,4.3400,1.0300,,
$50 NBA Daily 8/20,2020-08-20T14:06:54.423788,estk_f5eb165987fe0311f95aa87cc77383be,evt_f5eb165987fe0311,Markelle Fultz,NBA,23.15,,,,4.1000,1.0300,,
$50 NBA Daily 8/20,2020-08-20T14:06:54.423792,estk_f5eb165987fe0311663b3162753394ed,evt_f5eb165987fe0311,Terrence Ross,NBA,20.02,,,,3.4400,1.0200,,
