name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$2K PGA Championship,2020-08-07T10:39:56.114128,estk_f684ba15bba0067a8eb46850755a695e,evt_f684ba15bba0067a,Xander Schauffele,PGA,78.03,80.52,22,0.25,10.9100,7.8900,12.2200,9.2100
$2K PGA Championship,2020-08-07T10:39:56.114128,estk_f684ba15bba0067ae0b5b2fc83a00c65,evt_f684ba15bba0067a,Gary Woodland,PGA,78.98,80.23,21,0.25,10.6900,8.4100,12.0600,8.9900
$2K PGA Championship,2020-08-07T10:39:56.114128,estk_f684ba15bba0067a03fcb99bd098267b,evt_f684ba15bba0067a,Patrick Reed,PGA,79.17,80,23,0.28,10.4600,8.4800,12.1100,9.1700
$2K PGA Championship,2020-08-07T10:39:56.114128,estk_f684ba15bba0067ad11048af6a9aa9e4,evt_f684ba15bba0067a,Bryson DeChambeau,PGA,78.8,79.1,20,0.25,9.8400,8.3100,11.5500,8.2800
$2K PGA Championship,2020-08-07T10:39:56.114128,estk_f684ba15bba0067adb5881f101cec470,evt_f684ba15bba0067a,Justin Rose,PGA,75.99,78.99,22,0.25,9.7400,6.8900,11.3200,8.0600
$2K PGA Championship,2020-08-07T10:39:56.114128,estk_f684ba15bba0067af659aa7b5b2176ee,evt_f684ba15bba0067a,Collin Morikawa,PGA,79.54,78.66,19,0.25,9.4700,8.7100,11.1400,7.8100
$2K PGA Championship,2020-08-07T10:39:56.114128,estk_f684ba15bba0067af40801c5943c8d94,evt_f684ba15bba0067a,Jon Rahm,PGA,79.94,77.95,18,0.25,8.9800,8.9500,10.8600,7.3500
$2K PGA Championship,2020-08-07T10:39:56.114128,estk_f684ba15bba0067ac2291b803160b17e,evt_f684ba15bba0067a,Daniel Berger,PGA,75.51,77.63,21,0.25,8.7200,6.6700,10.3300,7.1000
$2K PGA Championship,2020-08-07T10:39:56.114128,estk_f684ba15bba0067a503f60443b3bd112,evt_f684ba15bba0067a,Webb Simpson,PGA,80.61,77.46,17,0.25,8.6000,9.3100,10.2700,6.9300
$2K PGA Championship,2020-08-07T10:39:56.114128,estk_f684ba15bba0067a2203f644cb3905c3,evt_f684ba15bba0067a,Jason Day,PGA,72.42,77.31,23,0.25,8.5400,9.4100,9.9000,7.0800
