Bot,maxIPOSpending,Risk,PrefRanks,EventID,AvgEarnings
bot_1,0,0.0,[],evt_1a341f55f12d099b714af8b82c3205c9,436.43600000000004
bot_2,0,0.0,[1],evt_1a341f55f12d099b714af8b82c3205c9,438.7679999999999
bot_3,0,0.0,[3],evt_1a341f55f12d099b714af8b82c3205c9,439.1039999999999
bot_4,0,0.0,[0],evt_1a341f55f12d099b714af8b82c3205c9,441.63199999999995
bot_5,0,0.0,[2],evt_1a341f55f12d099b714af8b82c3205c9,437.76399999999995
bot_6,0,0.0,[4],evt_1a341f55f12d099b714af8b82c3205c9,439.63199999999995
bot_7,0,0.0,"[1, 3]",evt_1a341f55f12d099b714af8b82c3205c9,435.23199999999997
bot_8,0,0.0,"[0, 2]",evt_1a341f55f12d099b714af8b82c3205c9,441.36400000000003
bot_9,0,0.0,"[0, 3]",evt_1a341f55f12d099b714af8b82c3205c9,436.76800000000003
bot_10,0,0.0,"[1, 2]",evt_1a341f55f12d099b714af8b82c3205c9,433.63199999999995
bot_11,0,0.0,"[0, 4]",evt_1a341f55f12d099b714af8b82c3205c9,440.832
bot_12,0,0.0,"[1, 4]",evt_1a341f55f12d099b714af8b82c3205c9,438.03599999999994
bot_13,0,0.0,"[2, 3]",evt_1a341f55f12d099b714af8b82c3205c9,438.69999999999993
bot_14,0,0.0,"[0, 1]",evt_1a341f55f12d099b714af8b82c3205c9,436.36800000000005
bot_15,0,0.0,"[3, 4]",evt_1a341f55f12d099b714af8b82c3205c9,439.36800000000005
bot_16,0,0.0,"[2, 4]",evt_1a341f55f12d099b714af8b82c3205c9,439.36799999999994
bot_17,0,0.0,"[0, 1, 2]",evt_1a341f55f12d099b714af8b82c3205c9,441.36400000000003
bot_18,0,0.0,"[0, 1, 3]",evt_1a341f55f12d099b714af8b82c3205c9,436.9
bot_19,0,0.0,"[0, 1, 4]",evt_1a341f55f12d099b714af8b82c3205c9,440.83599999999996
bot_20,0,0.0,"[0, 2, 3]",evt_1a341f55f12d099b714af8b82c3205c9,436.43199999999996
bot_21,0,0.0,"[0, 2, 4]",evt_1a341f55f12d099b714af8b82c3205c9,436.77199999999993
bot_22,0,0.0,"[1, 2, 3]",evt_1a341f55f12d099b714af8b82c3205c9,437.832
bot_23,0,0.0,"[1, 2, 4]",evt_1a341f55f12d099b714af8b82c3205c9,438.23199999999997
bot_24,0,0.0,"[0, 3, 4]",evt_1a341f55f12d099b714af8b82c3205c9,437.76399999999995
bot_25,0,0.0,"[1, 3, 4]",evt_1a341f55f12d099b714af8b82c3205c9,438.23199999999997
bot_26,0,0.0,"[2, 3, 4]",evt_1a341f55f12d099b714af8b82c3205c9,441.5039999999999
bot_27,0,0.0,"[0, 1, 3, 4]",evt_1a341f55f12d099b714af8b82c3205c9,442.896
bot_28,0,0.0,"[0, 1, 2, 3]",evt_1a341f55f12d099b714af8b82c3205c9,435.03999999999996
bot_29,0,0.0,"[0, 2, 3, 4]",evt_1a341f55f12d099b714af8b82c3205c9,435.76800000000003
bot_30,0,0.0,"[1, 2, 3, 4]",evt_1a341f55f12d099b714af8b82c3205c9,434.968
bot_31,0,0.0,"[0, 1, 2, 4]",evt_1a341f55f12d099b714af8b82c3205c9,439.696
bot_32,0,0.2,[],evt_1a341f55f12d099b714af8b82c3205c9,427.496
