Bot,maxIPOSpending,BuyRisk,SellRisk,PrefRanks,EventID,AvgEarnings
bot_1,0,0.25,0.1,[],evt_e369b5a56fadc620,250.0
bot_2,0,0.25,0.1,[1],evt_e369b5a56fadc620,250.0
bot_3,0,0.25,0.1,[3],evt_e369b5a56fadc620,250.0
bot_4,0,0.25,0.1,[0],evt_e369b5a56fadc620,250.0
bot_5,0,0.25,0.1,[2],evt_e369b5a56fadc620,250.0
bot_6,0,0.25,0.1,[4],evt_e369b5a56fadc620,250.0
bot_7,0,0.25,0.1,"[1, 3]",evt_e369b5a56fadc620,250.0
bot_8,0,0.25,0.1,"[0, 2]",evt_e369b5a56fadc620,250.0
bot_9,0,0.25,0.1,"[0, 3]",evt_e369b5a56fadc620,250.0
bot_10,0,0.25,0.1,"[1, 2]",evt_e369b5a56fadc620,250.0
bot_11,0,0.25,0.1,"[0, 4]",evt_e369b5a56fadc620,250.0
bot_12,0,0.25,0.1,"[1, 4]",evt_e369b5a56fadc620,250.0
bot_13,0,0.25,0.1,"[2, 3]",evt_e369b5a56fadc620,250.0
bot_14,0,0.25,0.1,"[0, 1]",evt_e369b5a56fadc620,250.0
bot_15,0,0.25,0.1,"[3, 4]",evt_e369b5a56fadc620,250.0
bot_16,0,0.25,0.1,"[2, 4]",evt_e369b5a56fadc620,250.0
bot_17,0,0.5,0.1,[],evt_e369b5a56fadc620,250.0
bot_18,0,0.5,0.1,[1],evt_e369b5a56fadc620,250.0
bot_19,0,0.5,0.1,[3],evt_e369b5a56fadc620,250.0
bot_20,0,0.5,0.1,[0],evt_e369b5a56fadc620,250.0
bot_21,0,0.5,0.1,[2],evt_e369b5a56fadc620,250.0
bot_22,0,0.5,0.1,[4],evt_e369b5a56fadc620,250.0
bot_23,0,0.5,0.1,"[1, 3]",evt_e369b5a56fadc620,250.0
bot_24,0,0.5,0.1,"[0, 2]",evt_e369b5a56fadc620,250.0
bot_25,0,0.5,0.1,"[0, 3]",evt_e369b5a56fadc620,250.0
bot_26,0,0.5,0.1,"[1, 2]",evt_e369b5a56fadc620,250.0
bot_27,0,0.5,0.1,"[0, 4]",evt_e369b5a56fadc620,250.0
bot_28,0,0.5,0.1,"[1, 4]",evt_e369b5a56fadc620,250.0
bot_29,0,0.5,0.1,"[2, 3]",evt_e369b5a56fadc620,250.0
bot_30,0,0.5,0.1,"[0, 1]",evt_e369b5a56fadc620,250.0
bot_31,0,0.5,0.1,"[3, 4]",evt_e369b5a56fadc620,250.0
bot_32,0,0.5,0.1,"[2, 4]",evt_e369b5a56fadc620,250.0
bot_33,0,0.75,0.1,[],evt_e369b5a56fadc620,250.0
bot_34,0,0.75,0.1,[1],evt_e369b5a56fadc620,250.0
bot_35,0,0.75,0.1,[3],evt_e369b5a56fadc620,250.0
bot_36,0,0.75,0.1,[0],evt_e369b5a56fadc620,250.0
bot_37,0,0.75,0.1,[2],evt_e369b5a56fadc620,250.0
bot_38,0,0.75,0.1,[4],evt_e369b5a56fadc620,250.0
bot_39,0,0.75,0.1,"[1, 3]",evt_e369b5a56fadc620,250.0
bot_40,0,0.75,0.1,"[0, 2]",evt_e369b5a56fadc620,250.0
bot_41,0,0.75,0.1,"[0, 3]",evt_e369b5a56fadc620,250.0
bot_42,0,0.75,0.1,"[1, 2]",evt_e369b5a56fadc620,250.0
bot_43,0,0.75,0.1,"[0, 4]",evt_e369b5a56fadc620,250.0
bot_44,0,0.75,0.1,"[1, 4]",evt_e369b5a56fadc620,250.0
bot_45,0,0.75,0.1,"[2, 3]",evt_e369b5a56fadc620,250.0
bot_46,0,0.75,0.1,"[0, 1]",evt_e369b5a56fadc620,250.0
bot_47,0,0.75,0.1,"[3, 4]",evt_e369b5a56fadc620,250.0
bot_48,0,0.75,0.1,"[2, 4]",evt_e369b5a56fadc620,250.0
bot_49,0,1.0,0.1,[],evt_e369b5a56fadc620,0.0
bot_50,0,1.0,0.1,[1],evt_e369b5a56fadc620,0.0
bot_51,0,1.0,0.1,[3],evt_e369b5a56fadc620,0.0
bot_52,0,1.0,0.1,[0],evt_e369b5a56fadc620,0.0
bot_53,0,1.0,0.1,[2],evt_e369b5a56fadc620,0.0
bot_54,0,1.0,0.1,[4],evt_e369b5a56fadc620,0.0
bot_55,0,1.0,0.1,"[1, 3]",evt_e369b5a56fadc620,0.0
bot_56,0,1.0,0.1,"[0, 2]",evt_e369b5a56fadc620,0.0
bot_57,0,1.0,0.1,"[0, 3]",evt_e369b5a56fadc620,0.0
bot_58,0,1.0,0.1,"[1, 2]",evt_e369b5a56fadc620,0.0
bot_59,0,1.0,0.1,"[0, 4]",evt_e369b5a56fadc620,0.0
bot_60,0,1.0,0.1,"[1, 4]",evt_e369b5a56fadc620,0.0
bot_61,0,1.0,0.1,"[2, 3]",evt_e369b5a56fadc620,0.0
bot_62,0,1.0,0.1,"[0, 1]",evt_e369b5a56fadc620,0.0
bot_63,0,1.0,0.1,"[3, 4]",evt_e369b5a56fadc620,0.0
bot_64,0,1.0,0.1,"[2, 4]",evt_e369b5a56fadc620,0.0
bot_65,0,2,0.1,[],evt_e369b5a56fadc620,0.0
