Bot,maxIPOSpending,BuyRisk,SellRisk,PrefRanks,IPOcsv,LIVEcsv,EventID,AvgEarnings
bot_1,0,0.25,0.1,[],True,True,evt_11e77bcdb4362e13,394.006
bot_2,0,0.25,0.1,[],True,False,evt_11e77bcdb4362e13,452.834
bot_3,0,0.25,0.1,[],False,True,evt_11e77bcdb4362e13,385.51399999999995
bot_4,0,0.25,0.1,[],False,False,evt_11e77bcdb4362e13,489.06000000000006
bot_5,0,0.25,0.1,[0],True,True,evt_11e77bcdb4362e13,401.76199999999994
bot_6,0,0.25,0.1,[0],True,False,evt_11e77bcdb4362e13,481.822
bot_7,0,0.25,0.1,[0],False,True,evt_11e77bcdb4362e13,400.178
bot_8,0,0.25,0.1,[0],False,False,evt_11e77bcdb4362e13,442.43199999999996
bot_9,0,0.25,0.1,[1],True,True,evt_11e77bcdb4362e13,386.178
bot_10,0,0.25,0.1,[1],True,False,evt_11e77bcdb4362e13,451.246
bot_11,0,0.25,0.1,[1],False,True,evt_11e77bcdb4362e13,366.63
bot_12,0,0.25,0.1,[1],False,False,evt_11e77bcdb4362e13,449.0279999999999
bot_13,0,0.25,0.1,[2],True,True,evt_11e77bcdb4362e13,382.76399999999995
bot_14,0,0.25,0.1,[2],True,False,evt_11e77bcdb4362e13,471.51800000000003
bot_15,0,0.25,0.1,[2],False,True,evt_11e77bcdb4362e13,416.90999999999997
bot_16,0,0.25,0.1,[2],False,False,evt_11e77bcdb4362e13,465.496
bot_17,0,0.25,0.1,[3],True,True,evt_11e77bcdb4362e13,384.864
bot_18,0,0.25,0.1,[3],True,False,evt_11e77bcdb4362e13,442.0179999999999
bot_19,0,0.25,0.1,[3],False,True,evt_11e77bcdb4362e13,363.0559999999999
bot_20,0,0.25,0.1,[3],False,False,evt_11e77bcdb4362e13,447.73799999999994
bot_21,0,0.25,0.1,[4],True,True,evt_11e77bcdb4362e13,399.004
bot_22,0,0.25,0.1,[4],True,False,evt_11e77bcdb4362e13,483.20599999999996
bot_23,0,0.25,0.1,[4],False,True,evt_11e77bcdb4362e13,371.93999999999994
bot_24,0,0.25,0.1,[4],False,False,evt_11e77bcdb4362e13,428.342
bot_25,0,0.25,0.1,"[0, 1]",True,True,evt_11e77bcdb4362e13,370.122
bot_26,0,0.25,0.1,"[0, 1]",True,False,evt_11e77bcdb4362e13,440.23999999999995
bot_27,0,0.25,0.1,"[0, 1]",False,True,evt_11e77bcdb4362e13,412.74799999999993
